horse_name,horse_id,umaban,horse_weight,weight_carry,age,sex,distance,surface,condition,course,course_enc,surface_enc,condition_enc,sex_enc,horse_num,num_horses,odds,pop_rank,jockey_name,finish,bracket,race_id,prev_finish,prev2_finish,prev3_finish,avg_finish_3r,best_finish_3r,top3_count_3r,finish_trend,prev_odds_log,rest_days,rest_category,dist_change,dist_change_abs,target
フェアウィンド,2017106112,1,500,54.0,5,牝,1600,ダ,良,,10,1,0,1,1,16,15.0,8,江里口裕,6,1,202244012509,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
ビルドアップ,2018103439,15,517,56.0,4,牡,1600,ダ,良,,10,1,0,0,15,16,15.0,8,和田譲治,7,8,202244012509,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
キタノユニヴァース,2017103033,3,516,56.0,5,牡,1600,ダ,良,,10,1,0,0,3,16,15.0,8,矢野貴之,8,2,202244012509,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
ビッグブラザー,2018103759,7,485,56.0,4,牡,1600,ダ,良,,10,1,0,0,7,16,15.0,8,本田正重,9,4,202244012509,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
グラスクアドラ,2018103584,13,446,56.0,4,牡,1600,ダ,良,,10,1,0,0,13,16,15.0,8,達城龍次,10,7,202244012509,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
ジュニパーダンス,2018100249,5,436,54.0,4,牝,1600,ダ,良,,10,1,0,1,5,16,15.0,8,今野忠成,11,3,202244012509,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
レーニア,2018102050,8,459,54.0,4,牝,1600,ダ,良,,10,1,0,1,8,16,15.0,8,山崎誠士,12,4,202244012509,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
ヴレネリ,2018102395,6,478,54.0,4,牝,1600,ダ,良,,10,1,0,1,6,16,15.0,8,藤本現暉,13,3,202244012509,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
トーセンヴァネッサ,2018105651,12,450,54.0,4,牝,1600,ダ,良,,10,1,0,1,12,16,15.0,8,澤田龍哉,14,6,202244012509,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
レジェンドジアース,2018104115,10,541,56.0,4,牡,1600,ダ,良,,10,1,0,0,10,16,15.0,8,本橋孝太,15,5,202244012509,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
ブラボーエイト,2015100271,2,483,56.0,7,牡,1600,ダ,良,,10,1,0,0,2,16,15.0,8,福原杏,16,1,202244012509,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
リックシエリ,2018103421,6,469,54.0,4,牝,1600,ダ,稍重,,10,1,1,1,6,7,15.0,8,大原浩司,1,6,202247012502,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,1
