sire,total_runners,win_rate,top2_rate,top3_rate,avg_finish,turf_top3r,dirt_top3r,sprint_top3r,mile_top3r,middle_top3r,long_top3r
コパノリチャード,20,0.0,0.0,0.05,9.45,0.0833,0.0,0.0556,0.0,,
レインボーライン,20,0.0,0.05,0.05,9.9,0.0,0.125,0.1,0.0,0.0,
トーホウジャッカル,19,0.0,0.0,0.0526,8.79,0.0667,0.0,0.25,0.0,0.0,
アポロケンタッキー,19,0.0,0.0,0.0526,9.68,0.0,0.0625,0.0909,0.0,0.0,
ニシケンモノノフ,19,0.0,0.0,0.0526,7.79,0.25,0.0,0.0667,0.0,0.0,
ザサンデーフサイチ,18,0.0,0.0556,0.1111,9.39,0.2,0.0,0.1667,0.0,0.125,
サクラプレジデント,18,0.0556,0.1667,0.1667,8.83,0.25,0.0,0.2,0.5,0.0,
アドマイヤジャパン,18,0.0,0.1111,0.1667,8.39,0.1667,0.1667,0.25,0.3333,0.0,
フサイチリシャール,18,0.0,0.0,0.0556,10.17,0.1,0.0,0.0833,0.0,0.0,
ワンアンドオンリー,18,0.0556,0.0556,0.1111,8.22,0.1429,0.0,0.0,0.0,0.1818,
ジャイアントレッカー,17,0.0,0.0,0.0588,10.94,0.0,0.1111,0.0909,0.0,0.0,
スマートロビン,17,0.0,0.0,0.0,10.59,0.0,0.0,0.0,0.0,0.0,
ハイアーゲーム,17,0.0588,0.0588,0.0588,10.35,0.0,0.2,0.3333,0.0,0.0,
トワイニング,17,0.0,0.1176,0.2353,8.82,0.2222,0.25,0.1429,1.0,0.5,
フサイチセブン,17,0.0588,0.1765,0.1765,9.53,0.2857,0.1,0.125,0.3333,0.0,
アドマイヤコジーン,17,0.0,0.0,0.0,10.47,0.0,0.0,0.0,0.0,0.0,
オーシャンブルー,17,0.0,0.0588,0.0588,8.71,0.0769,0.0,0.0,0.0,0.1111,
ウォーターリーグ,16,0.0,0.0625,0.125,7.94,0.125,0.125,0.1,0.0,0.2,
Dubawi,16,0.0,0.25,0.375,5.56,0.3846,0.3333,0.75,0.3333,0.2222,
Gun Runner,16,0.125,0.3125,0.5,4.75,0.5,0.5,1.0,0.0,0.5556,
ニューイングランド,16,0.0,0.0,0.0,11.69,0.0,0.0,0.0,0.0,0.0,
ブラックタキシード,15,0.0,0.0,0.0667,10.93,0.0909,0.0,0.0,0.3333,0.0,
Medaglia d'Oro,15,0.0667,0.2,0.4667,5.47,0.5,0.4444,0.6667,1.0,0.2857,
ブレイクランアウト,15,0.0667,0.0667,0.0667,7.6,0.0,0.2,0.0,0.0,0.0,
Quality Road,14,0.0714,0.3571,0.3571,5.71,1.0,0.3077,0.5,1.0,0.1429,
Malibu Moon,14,0.2857,0.2857,0.3571,5.21,0.4444,0.2,0.3333,0.5,0.0,
Siyouni,14,0.2143,0.3571,0.3571,4.5,0.3846,0.0,0.0,0.2,0.5,
Pioneerof the Nile,14,0.2143,0.3571,0.4286,5.5,0.375,0.5,0.2857,0.5,0.75,
オーヴァルエース,14,0.0714,0.2857,0.3571,7.21,0.0,0.4167,0.3846,0.0,,
Nathaniel,14,0.0714,0.0714,0.1429,8.29,0.1667,0.0,0.5,0.0,0.125,
サンライズペガサス,14,0.0,0.0714,0.1429,7.64,0.5,0.0833,0.1667,,0.1429,
ゴスホークケン,14,0.1429,0.2857,0.2857,7.29,0.3,0.25,0.25,0.0,0.4286,
Curlin,14,0.2143,0.3571,0.4286,4.29,0.2,0.5556,0.0,0.0,0.5556,
タイセイレジェンド,14,0.0,0.0714,0.1429,9.29,0.0,0.1667,0.1,0.5,0.0,
Frosted,14,0.2143,0.2857,0.3571,6.0,0.3333,0.375,0.5,0.0,0.25,
Arrogate,14,0.5,0.6429,0.6429,3.43,0.0,0.8182,1.0,0.6667,0.6667,
ワンダーアキュート,14,0.0714,0.0714,0.0714,10.14,,0.0714,0.0,0.0,0.1,
マルカシェンク,14,0.0,0.0714,0.1429,9.14,0.125,0.1667,0.3333,0.0,0.1429,
Distorted Humor,14,0.0714,0.1429,0.3571,6.57,0.2,0.4444,0.5,0.0,0.2,
Dark Angel,14,0.0714,0.1429,0.2857,6.86,0.2857,,0.2857,0.5,0.0,
Fastnet Rock,14,0.2143,0.2857,0.4286,6.07,0.5,0.25,0.4286,0.5,0.3333,
War Front,13,0.2308,0.4615,0.4615,4.85,0.4545,0.5,0.7143,,0.1667,
Liam's Map,13,0.0769,0.3846,0.4615,6.46,0.0,0.5455,0.4,0.5,0.6,
バンドワゴン,13,0.0769,0.2308,0.2308,8.92,0.1667,0.2857,0.25,0.0,0.2857,
Bernardini,13,0.1538,0.3077,0.3846,5.54,0.5,0.3636,0.1429,1.0,0.0,
サングレーザー,13,0.0769,0.0769,0.1538,8.69,0.1818,0.0,0.0,0.0,0.3333,
マーベラスサンデー,13,0.0769,0.1538,0.1538,8.92,0.1818,0.0,0.0,0.1667,0.25,
Declaration of War,13,0.1538,0.2308,0.3077,7.31,0.3333,0.25,0.6667,0.1429,0.3333,
Teofilo,13,0.0,0.2308,0.3077,6.46,0.2727,0.5,0.0,0.0,0.5,
