kaisai_key,yyyymmdd,course_name,kaisai_ku,weather_code,turf_baba_code,turf_baba_sa,turf_baba_inner,turf_baba_mid,turf_baba_outer,straight_sa_most,straight_sa_inner,straight_sa_mid,straight_sa_outer,straight_sa_far,dirt_baba_code,dirt_baba_sa,dirt_baba_inner,dirt_baba_mid,dirt_baba_outer,turf_type,grass_height,rain_mid,renzoku_day,data_ku
2020030107,20200502,福島,3,1,1 ,-14.0,3,2,2,1.0,1.0,0.0,0.0,0.0,1 ,-3.0,3,3,3,3,16.0,0.0,7,4
2020050203,20200502,東京,1,1,1 ,-18.0,1,1,1,0.0,0.0,0.0,0.0,0.0,1 ,-4.0,3,3,3,3,18.0,3.0,3,4
2020080303,20200502,京都,2,1,1 ,-16.0,2,2,2,0.0,0.0,0.0,0.0,0.0,1 ,-1.0,3,3,3,3,16.0,0.0,3,4
2020030108,20200503,福島,3,1,1 ,-14.0,3,2,2,1.0,1.0,0.0,0.0,0.0,1 ,-3.0,3,3,3,3,16.0,0.0,8,4
2020050204,20200503,東京,1,1,1 ,-18.0,1,1,1,0.0,0.0,0.0,0.0,0.0,1 ,-4.0,3,3,3,3,18.0,3.0,4,4
2020080304,20200503,京都,2,2,1 ,-16.0,2,2,2,0.0,0.0,0.0,0.0,0.0,1 ,-1.0,4,4,4,3,16.0,0.0,4,4
2020040101,20200509,新潟,3,2,1 ,-11.0,2,2,2,0.0,0.0,0.0,0.0,0.0,1 ,-8.0,3,3,3,1,10.0,7.0,1,4
2020050205,20200509,東京,1,1,1 ,-17.0,2,2,2,0.0,0.0,0.0,0.0,0.0,1 ,-4.0,3,3,3,3,18.0,5.5,5,4
2020080305,20200509,京都,2,2,1 ,-13.0,3,2,2,1.0,1.0,0.0,0.0,0.0,1 ,-1.0,4,4,4,3,16.0,0.5,5,4
2020040102,20200510,新潟,3,4,2 ,-2.0,2,2,2,0.0,0.0,0.0,0.0,0.0,3 ,-15.0,1,1,1,1,10.0,7.0,2,4
2020050206,20200510,東京,1,2,1 ,-17.0,2,2,2,0.0,0.0,0.0,0.0,0.0,1 ,-4.0,3,3,3,3,18.0,5.5,6,4
2020080306,20200510,京都,2,4,2 ,-3.0,3,2,2,1.0,1.0,0.0,0.0,0.0,3 ,-12.0,1,1,1,3,16.0,0.5,6,4
2020040103,20200516,新潟,3,2,1 ,0.0,3,2,2,1.0,1.0,0.0,0.0,0.0,1 ,-8.0,3,3,3,1,10.0,0.5,3,4
2020050207,20200516,東京,1,4,2 ,-14.0,2,2,2,0.0,0.0,0.0,0.0,0.0,2 ,-8.0,2,2,2,3,18.0,0.0,7,4
2020080307,20200516,京都,2,4,3 ,-1.0,3,2,2,1.0,1.0,0.0,0.0,0.0,3 ,-12.0,1,1,1,3,16.0,0.0,7,4
2020040104,20200517,新潟,3,4,2 ,9.0,3,2,2,1.0,1.0,0.0,0.0,0.0,2 ,-9.0,2,2,2,1,10.0,0.5,4,4
2020050208,20200517,東京,1,1,2 ,-14.0,2,2,2,0.0,0.0,0.0,0.0,0.0,2 ,-8.0,2,2,2,3,18.0,0.0,8,4
2020080308,20200517,京都,2,2,3 ,-1.0,3,2,2,1.0,1.0,0.0,0.0,0.0,3 ,-12.0,1,1,1,3,16.0,0.0,8,4
2020040105,20200523,新潟,3,1,1 ,3.0,3,2,2,1.0,1.0,0.0,0.0,0.0,2 ,-9.0,2,2,2,1,10.0,38.0,5,4
2020050209,20200523,東京,1,2,2 ,-20.0,2,2,2,0.0,0.0,0.0,0.0,0.0,2 ,-8.0,2,2,2,3,18.0,41.5,9,4
2020080309,20200523,京都,2,1,1 ,-8.0,3,2,2,1.0,1.0,0.0,0.0,0.0,1 ,-1.0,3,3,3,3,16.0,42.5,9,4
2020040106,20200524,新潟,3,1,1 ,3.0,3,2,2,1.0,1.0,0.0,0.0,0.0,1 ,-8.0,3,3,3,1,10.0,38.0,6,4
2020050210,20200524,東京,1,1,1 ,-26.0,2,2,2,0.0,0.0,0.0,0.0,0.0,1 ,-4.0,3,3,3,3,18.0,41.5,10,4
2020080310,20200524,京都,2,1,1 ,-8.0,3,2,2,1.0,1.0,0.0,0.0,0.0,1 ,-1.0,3,3,3,3,16.0,42.5,10,4
2020050211,20200530,東京,1,1,1 ,-28.0,2,2,2,0.0,0.0,0.0,0.0,0.0,1 ,-4.0,3,3,3,3,18.0,1.5,11,4
2020080311,20200530,京都,2,1,1 ,-10.0,3,2,2,1.0,1.0,0.0,0.0,0.0,1 ,-1.0,3,3,3,3,16.0,3.5,11,4
2020050212,20200531,東京,1,2,1 ,-28.0,2,2,2,0.0,0.0,0.0,0.0,0.0,1 ,-4.0,3,3,3,3,18.0,1.5,12,4
2020080312,20200531,京都,2,2,1 ,-10.0,3,2,2,1.0,1.0,0.0,0.0,0.0,1 ,-1.0,3,3,3,3,16.0,3.5,12,4
2020050301,20200606,東京,1,2,1 ,-18.0,2,2,2,0.0,0.0,0.0,0.0,0.0,1 ,-4.0,3,3,3,3,18.0,3.5,13,4
2020090301,20200606,阪神,2,2,1 ,-15.0,1,1,1,-1.0,-1.0,0.0,0.0,0.0,1 ,-6.0,4,4,4,3,16.0,0.0,1,4
2020050302,20200607,東京,1,1,1 ,-18.0,2,2,2,0.0,0.0,0.0,0.0,0.0,2 ,-8.0,2,2,2,3,18.0,3.5,14,4
2020090302,20200607,阪神,2,1,1 ,-15.0,1,1,1,-1.0,-1.0,0.0,0.0,0.0,1 ,-6.0,4,4,4,3,16.0,0.0,2,4
2020020101,20200613,函館,3,1,1 ,-22.0,1,1,1,-1.0,-1.0,0.0,0.0,0.0,1 ,-8.0,3,3,3,2,14.0,7.5,1,4
2020050303,20200613,東京,1,2,2 ,-10.0,2,2,2,0.0,0.0,0.0,0.0,0.0,3 ,-17.0,1,1,1,3,16.0,4.5,15,4
2020090303,20200613,阪神,2,4,3 ,-1.0,2,2,2,0.0,0.0,0.0,0.0,0.0,4 ,-21.0,1,1,1,3,16.0,26.5,3,4
2020020102,20200614,函館,3,2,1 ,-22.0,1,1,1,-1.0,-1.0,0.0,0.0,0.0,1 ,-8.0,3,3,3,2,14.0,7.5,2,4
2020050304,20200614,東京,1,4,3 ,1.0,2,2,2,0.0,0.0,0.0,0.0,0.0,4 ,-18.0,1,1,1,3,16.0,4.5,16,4
2020090304,20200614,阪神,2,4,3 ,-1.0,2,2,2,0.0,0.0,0.0,0.0,0.0,4 ,-21.0,1,1,1,3,16.0,26.5,4,4
2020020103,20200620,函館,3,1,1 ,-39.0,1,1,1,-1.0,-1.0,0.0,0.0,0.0,1 ,-8.0,3,3,3,2,14.0,10.5,3,4
2020050305,20200620,東京,1,1,3 ,-3.0,3,2,2,1.0,1.0,0.0,0.0,0.0,4 ,-18.0,1,1,1,3,16.0,33.0,17,4
2020090305,20200620,阪神,2,1,2 ,-6.0,3,2,2,1.0,1.0,0.0,0.0,0.0,3 ,-14.0,1,1,1,3,16.0,90.0,5,4
