race_id,year,month,course,course_enc,distance,surface,condition,num_horses,class_code,class_label,cond_key,actual_top3,ai_top3,trio_hit,trio_invest,trio_return,umaren_hit,umaren_invest,umaren_return,wide_hit,wide_invest,wide_return,combo_hit,combo_invest,combo_return
06183108,2018,3,中山,5,3350,芝,良,8,131,OP,A,"{1: 1, 2: 7, 3: 5}","[7, 5, 4]",True,700,2563,False,700,0.0,True,700,616.0,True,1000,440.0
08183708,2018,5,京都,7,3930,芝,良,8,179,G2G3,A,"{1: 3, 2: 5, 3: 1}","[3, 5, 2]",True,700,1052,True,700,1354.5,True,700,406.0,True,1000,1257.5
03183104,2018,11,福島,2,3350,芝,良,14,131,OP,A,"{1: 12, 2: 9, 3: 11}","[4, 7, 12]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
08181712,2018,1,京都,7,1200,ダ,稍,16,43,1win,D,"{1: 13, 2: 14, 3: 7}","[13, 1, 2]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
09182608,2018,4,阪神,8,1400,ダ,稍,16,43,1win,D,"{1: 14, 2: 13, 3: 11}","[14, 7, 12]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
04181412,2018,5,新潟,3,1200,ダ,良,15,43,1win,D,"{1: 8, 2: 11, 3: 4}","[11, 8, 4]",True,700,2368,True,700,2093.0,True,700,3017.0,True,1000,3650.0
04181101,2018,4,新潟,3,2890,芝,良,14,131,OP,A,"{1: 8, 2: 12, 3: 7}","[6, 10, 13]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
05183104,2018,6,東京,4,3100,ダ,良,10,131,OP,A,"{1: 1, 2: 8, 3: 6}","[7, 8, 1]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
10182B04,2018,9,小倉,9,2860,芝,重,10,131,OP,B,"{1: 5, 2: 1, 3: 2}","[4, 10, 2]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
08185804,2018,11,京都,7,3170,ダ,良,11,131,OP,A,"{1: 10, 2: 11, 3: 3}","[3, 1, 10]",True,700,3243,False,700,0.0,True,700,1809.5,True,1000,1292.5
06181509,2018,1,中山,5,1200,ダ,良,16,67,2win,D,"{1: 13, 2: 12, 3: 8}","[3, 14, 8]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
09181710,2018,3,阪神,8,1200,ダ,稍,16,67,2win,D,"{1: 10, 2: 12, 3: 2}","[9, 2, 10]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
08184512,2018,10,京都,7,1200,ダ,良,15,67,2win,D,"{1: 12, 2: 14, 3: 7}","[12, 15, 13]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
08185612,2018,11,京都,7,1200,ダ,良,15,67,2win,D,"{1: 6, 2: 1, 3: 4}","[1, 5, 6]",False,700,0,True,700,4914.0,True,700,1473.5,True,1000,4562.5
