race_id,horse_id,corner_position_delta,jockey_trainer_combo_top3_exp
0718110503,10103686.0,,
0318120405,10103687.0,,
0318320411,10103687.0,0.0,0.0
0518410407,10103687.0,-1.0,0.2857142857142857
0618311016,10103786.0,,0.13333333333333333
0818391001,10103786.0,-15.0,0.23529411764705882
0918331103,10103786.0,-11.0,0.1
0318281116,10103926.0,,
04182A1011,10103926.0,-2.0,
0518171102,10104022.0,,
0518251009,10104022.0,1.0,0.0
05182C1207,10104022.0,0.0,0.0
0418170411,10104038.0,,
0618130803,10104038.0,-3.0,0.0
0718230506,10104038.0,0.0,0.25925925925925924
0718110507,10104080.0,,
0818521116,10104098.0,,0.39655172413793105
0818151207,10104111.0,,0.28888888888888886
0818280901,10104111.0,0.0,0.2
0818350906,10104111.0,-7.0,0.2653061224489796
0418140408,10104113.0,,0.3333333333333333
0418170102,10104113.0,-2.0,0.2
1018141109,10104113.0,2.0,0.43137254901960786
0118131112,10104256.0,,
0118261107,10104256.0,2.0,
0518171109,10104256.0,0.0,
05182C1212,10104256.0,-2.0,
0518521103,10104256.0,2.0,0.25
0618511105,10104256.0,-1.0,0.3333333333333333
0818121108,10104256.0,-5.0,
0818341113,10104256.0,-1.0,0.25
0618111105,10104287.0,,0.3333333333333333
0718221107,10104287.0,7.0,
0518171114,10104296.0,,0.3333333333333333
05182C1214,10104296.0,2.0,0.4
0318140413,10104370.0,,
0418170101,10104370.0,-6.0,0.0
0418350404,10104370.0,2.0,
0419130403,10104370.0,-3.0,1.0
0718120407,10104370.0,6.0,0.0
0718160501,10104370.0,3.0,0.0
0718240413,10104370.0,4.0,0.25
0718340409,10104370.0,0.0,0.3333333333333333
0718430509,10104370.0,7.0,
0719110514,10104370.0,-1.0,0.0
0719230514,10104370.0,-2.0,0.5
0719310402,10104370.0,-1.0,0.5
0818580408,10104370.0,3.0,0.0
1019270404,10104370.0,1.0,0.3333333333333333
10192B0102,10104370.0,1.0,
0318231002,10104412.0,,
0918371001,10104412.0,1.0,0.19230769230769232
0918441009,10104412.0,-1.0,0.16759776536312848
0518371113,10104453.0,,0.3181818181818182
0618231015,10104453.0,-10.0,0.20512820512820512
0818321015,10104453.0,-5.0,0.0
1018121113,10104453.0,-7.0,0.0625
0318361106,10104486.0,,0.2
0619241012,10104486.0,2.0,
0918591112,10104486.0,2.0,0.07142857142857142
0418161105,10104503.0,,0.0
0518371004,10104503.0,-10.0,0.3333333333333333
0818421006,10104503.0,-8.0,0.17391304347826086
0818510909,10104503.0,-7.0,0.15384615384615385
0818550801,10104503.0,-11.0,0.15384615384615385
0918311001,10104503.0,-1.0,0.19607843137254902
0918411007,10104503.0,-9.0,0.18181818181818182
0518421108,10104510.0,,0.32786885245901637
0518491113,10104510.0,-13.0,0.3225806451612903
05192C1202,10104510.0,-12.0,0.05263157894736842
0618311113,10104510.0,1.0,0.0
0619171102,10104510.0,1.0,0.2357142857142857
0619311103,10104510.0,1.0,0.2323943661971831
0718221108,10104510.0,2.0,
0818151106,10104510.0,-1.0,0.5
0818261108,10104510.0,2.0,0.3333333333333333
0818551115,10104510.0,1.0,0.0
0819261103,10104510.0,-1.0,
0418170410,10104551.0,,0.0
0518160813,10104551.0,4.0,0.3333333333333333
0718130508,10104551.0,3.0,0.5
0718310410,10104551.0,2.0,0.42857142857142855
0918150808,10104551.0,3.0,0.5
0318241006,10104563.0,,0.0
0319121102,10104563.0,1.0,0.0
0418121204,10104563.0,1.0,0.0
0518570808,10104563.0,0.0,0.0
0519331007,10104563.0,-15.0,0.125
0618110809,10104563.0,-3.0,
0618211208,10104563.0,0.0,0.6666666666666666
0618461004,10104563.0,2.0,0.0
0619120806,10104563.0,0.0,0.07894736842105263
0619161012,10104563.0,6.0,0.27586206896551724
0318270108,10104680.0,,
0618381011,10104680.0,1.0,
0818161103,10104680.0,-9.0,
0818281102,10104680.0,-13.0,0.5
0918151105,10104680.0,-14.0,0.3
0818121105,10104866.0,,1.0
0518230910,10104870.0,,
0518360908,10104870.0,-7.0,0.0
0718231016,10104870.0,0.0,0.0
0918251002,10104870.0,4.0,0.21428571428571427
0518181106,10104916.0,,0.0
0518531116,10104916.0,-6.0,0.25
0718341106,10104916.0,-7.0,0.25
0718421115,10104916.0,-11.0,0.3
0618121001,10104967.0,,0.2
0518241013,10105118.0,,
05182A1008,10105118.0,-14.0,0.0
0718160306,10105167.0,,
0818260709,10105167.0,-13.0,0.4
0918120710,10105167.0,-13.0,0.0
0418181115,10105298.0,,
0618231102,10105298.0,-14.0,0.0
0718261114,10105298.0,-11.0,0.0
0818221116,10105298.0,-14.0,0.0
0518370801,10105629.0,,0.16666666666666666
0818370807,10105629.0,2.0,0.18181818181818182
0819530806,10105629.0,2.0,
0820210814,10105629.0,1.0,0.0
0918150801,10105629.0,-2.0,0.16666666666666666
0918430802,10105629.0,0.0,0.15384615384615385
0919430807,10105629.0,-1.0,0.25
0418330106,10105786.0,,
0718371008,10105786.0,1.0,0.2222222222222222
0718440408,10105786.0,-9.0,0.125
0719160404,10105786.0,-2.0,0.1111111111111111
0818160905,10105786.0,1.0,0.0
0818280904,10105786.0,-10.0,0.3333333333333333
0818361203,10105786.0,-4.0,0.17647058823529413
0818391211,10105786.0,-10.0,0.25
0918111206,10105786.0,-11.0,0.23529411764705882
1018251001,10105786.0,-9.0,0.24107142857142858
0818521006,10105860.0,,0.6
0618371109,10105861.0,,
0918150802,10105861.0,-1.0,1.0
0918430804,10105861.0,0.0,0.3076923076923077
1018210805,10105861.0,0.0,0.4
0818361104,10105904.0,,
0318241111,10105964.0,,
0318341108,10105964.0,0.0,0.0
04182C1107,10105964.0,-1.0,0.16666666666666666
0518341112,10105964.0,-1.0,0.28169014084507044
0618111114,10105964.0,-2.0,0.25
0618171109,10105964.0,8.0,0.22727272727272727
0618471104,10105964.0,0.0,0.27058823529411763
0618511110,10105964.0,0.0,0.24
0619171103,10105964.0,1.0,0.21428571428571427
0118261103,10106229.0,,
0318341113,10106229.0,-7.0,0.2
0319140406,10106229.0,-6.0,
0618171102,10106229.0,-2.0,0.18333333333333332
0719310110,10106229.0,-5.0,
0818121106,10106229.0,-3.0,0.0
0818341117,10106229.0,0.0,0.25
0819121001,10106229.0,-15.0,0.16666666666666666
0918181101,10106229.0,-2.0,0.14285714285714285
0318141104,10106467.0,,0.0
0518111102,10106467.0,3.0,0.0
0618151001,10106467.0,-9.0,0.0
0618311110,10106467.0,-10.0,0.16666666666666666
0818341107,10106467.0,0.0,0.12244897959183673
0818221002,10106549.0,,0.09523809523809523
1018161107,10106549.0,-6.0,0.3684210526315789
0818320906,10106550.0,,0.2653061224489796
0818350901,10106550.0,6.0,0.24528301886792453
08183C0801,10106550.0,0.0,0.0
1018121010,10106550.0,-2.0,0.2076923076923077
1018151108,10106550.0,-2.0,0.0
1018221006,10106550.0,-1.0,0.0
1018251008,10106550.0,2.0,0.0
10182B1014,10106550.0,0.0,0.0
0318140402,10109123.0,,0.0
0318270405,10109123.0,3.0,0.5
0318310402,10109123.0,-2.0,0.3333333333333333
0318360903,10109123.0,-10.0,
0419110104,10109123.0,-4.0,0.0
0718120413,10109123.0,-1.0,0.25
0418181106,10109140.0,,0.22727272727272727
0418150710,10110015.0,,0.0
0718110602,10110015.0,-2.0,0.20833333333333334
0518181104,10110078.0,,0.38235294117647056
0518181115,10110127.0,,0.5
0418170114,10200007.0,,1.0
0418250409,10200007.0,1.0,1.0
0418350411,10200007.0,2.0,0.75
0419170409,10200007.0,2.0,0.5
0718310414,10200007.0,4.0,0.5555555555555556
0719110510,10200007.0,0.0,0.46153846153846156
0719150509,10200007.0,4.0,0.5
0719230503,10200007.0,2.0,0.47058823529411764
0719450502,10200007.0,3.0,0.4
0818121101,10200007.0,0.0,0.0
0818261003,10200007.0,1.0,0.13333333333333333
0818281006,10200007.0,0.0,
0819121009,10200007.0,-7.0,0.0
0918141002,10200007.0,0.0,
0918181010,10200007.0,-10.0,0.47368421052631576
0918241008,10200007.0,0.0,0.13333333333333333
0918340403,10200007.0,0.0,0.38095238095238093
0919340407,10200007.0,0.0,0.36363636363636365
0418281104,11100057.0,,
0518561110,11100057.0,-6.0,0.17647058823529413
