race_id,category,horses
202501020412,能力,2ローズ6ジュン7ザハンタイム指数へ
202501020412,上昇度,4ミッシ7ザハン10エポカ調子偏差値へ
202501020501,能力,3ユニゾ5リピー9ティブタイム指数へ
202501020501,上昇度,4ユウト7ホーリ8テンバ調子偏差値へ
202501020502,能力,7マスキ8ヒッグ10ワイズタイム指数へ
202501020502,上昇度,5シンギ8ヒッグ10ワイズ調子偏差値へ
202501020503,能力,1リュウ2サツキ7シンフタイム指数へ
202501020503,上昇度,3プレイ8ハナヒ12ロアヴ調子偏差値へ
202501020504,能力,2ウイン10アロマ16ドラギタイム指数へ
202501020504,上昇度,2ウイン9ディプ13シャイ調子偏差値へ
202501020506,能力,6ドルチ8シヴァ14ビービタイム指数へ
202501020506,上昇度,3グラン11オキョ13タイセ調子偏差値へ
202501020507,能力,6ユーテ7ミッキ9バレルタイム指数へ
202501020507,上昇度,1クリー3カフェ13ハイタ調子偏差値へ
202501020508,能力,1ルージ10レーヴ13セージタイム指数へ
202501020508,上昇度,2ネトル3ケープ14ユウェ調子偏差値へ
202501020509,能力,1マイネ3ヤコブ6ウインタイム指数へ
202501020509,上昇度,4エンジ12ミステ14グロー調子偏差値へ
202501020510,能力,1スイミ8モジャ14トウカタイム指数へ
202501020510,上昇度,2ハリウ14トウカ16ブライ調子偏差値へ
202501020511,能力,10アーレ11スマー12オブラタイム指数へ
202501020511,上昇度,3ポペッ4ショウ9トーア調子偏差値へ
202501020512,能力,2ベイラ8ローズ12マシュタイム指数へ
202501020512,上昇度,3メイシ11ドバイ12マシュ調子偏差値へ
202501020601,能力,3コルテ4マルモ7グロリタイム指数へ
202501020601,上昇度,2ショウ3コルテ5チェイ調子偏差値へ
202501020602,能力,1ハイラ4アッカ5サントタイム指数へ
202501020602,上昇度,3マリノ4アッカ6コスモ調子偏差値へ
202501020603,能力,1キタノ9ハロー10カスバタイム指数へ
202501020603,上昇度,1キタノ2アンタ7カワキ調子偏差値へ
202501020604,能力,3セガン8タイヨ11シャオタイム指数へ
202501020604,上昇度,6スカイ7ピース14リーサ調子偏差値へ
202501020605,能力,5エンジ6ブレス13ホウオタイム指数へ
202501020605,上昇度,2ジーテ6ブレス10アシャ調子偏差値へ
202501020606,能力,4ハヤテ6キボウ12ナンヨタイム指数へ
202501020606,上昇度,6キボウ7ミッキ12ナンヨ調子偏差値へ
202501020607,能力,2ルージ6ダイヤ9イリスタイム指数へ
202501020607,上昇度,6ダイヤ7コンバ8イズジ調子偏差値へ
202501020608,能力,3カウン9ヒラボ15ブルータイム指数へ
202501020608,上昇度,1ルブリ6ウイン14スネー調子偏差値へ
202501020609,能力,2エイブ4トーセ13チュウタイム指数へ
202501020609,上昇度,5オンザ6メイシ12クリノ調子偏差値へ
202501020610,能力,4ルクス6カテリ12タイキタイム指数へ
202501020610,上昇度,5ショウ6カテリ10エイム調子偏差値へ
202501020611,能力,5キミノ6ゴール7ミステタイム指数へ
202501020611,上昇度,4ニシノ6ゴール10エンド調子偏差値へ
202501020612,能力,2ジュン7ロスト12ピストタイム指数へ
202501020612,上昇度,5スマー8ハイケ13ジョー調子偏差値へ
202502010101,能力,9セゾン12アンビ14ロッキタイム指数へ
202502010101,上昇度,7ラブカ13プレイ16ジョー調子偏差値へ
202502010102,能力,9キタノ11アレー12デルマタイム指数へ
202502010102,上昇度,7テイケ12デルマ14メイシ調子偏差値へ
202502010103,能力,3ニッシ5ゴッド12コッコタイム指数へ
202502010103,上昇度,4クロス5ゴッド11イチト調子偏差値へ
202502010104,能力,2サクラ12アイル13セリオタイム指数へ
202502010104,上昇度,7コンド8レヴァ9ベール調子偏差値へ
202502010106,能力,4コスモ9テーオ13マンオタイム指数へ
202502010106,上昇度,3シュヴ9テーオ12オドラ調子偏差値へ
202502010107,能力,1スウィ12ヒラボ13ナムラタイム指数へ
202502010107,上昇度,7ラセー10ラブデ11オイラ調子偏差値へ
202502010108,能力,1ナンヨ5タッカ8ミッキタイム指数へ
202502010108,上昇度,3カップ7ゲクウ12キャン調子偏差値へ
202502010109,能力,3ロード8マリブ10エイシタイム指数へ
202502010109,上昇度,4サング9ルシタ12スモー調子偏差値へ
202502010110,能力,9ジルバ15アラタ16オルノタイム指数へ
202502010110,上昇度,7リリー10ピンク16オルノ調子偏差値へ
202502010111,能力,1ジュー4カピリ7ナムラタイム指数へ
202502010111,上昇度,1ジュー8ミリア10ジョー調子偏差値へ
202502010112,能力,3ヒヒー6ゴルデ13プラムタイム指数へ
202502010112,上昇度,1シンボ7ブルー14シホノ調子偏差値へ
202502010201,能力,8エムテ10エルサ15ウォータイム指数へ
202502010201,上昇度,2カネト5セイウ11アーク調子偏差値へ
202502010202,能力,5アスク12キタノ14ライフタイム指数へ
202502010202,上昇度,4ブルー11ニホン13ピスト調子偏差値へ
202502010203,能力,4アスゴ5ベルト6バースタイム指数へ
202502010203,上昇度,1セイウ5ベルト8ヒロス調子偏差値へ
