umaban,train_type,train_course_type,train_baba,train_mark,train_amount,train_change,train_comment,comment_year,comment_date,train_eval,train_course,race_id
1,0,5,3,0,1,0,100000000002453  49B2,   ,   , ,  ,202008010107
2,0,5,1,0,1,0,000000000002464  58A3,   ,   , ,  ,202008010107
3,0,5,1,0,1,0,000000000002471  59B3,   ,   , ,  ,202008010107
4,0,6,1,0,1,0,000000000002470  65B2,   ,   , ,  ,202008010107
5,0,5,1,0,1,0,000000000002474  66B3,   ,   , ,  ,202008010107
6,0,6,3,0,1,0,100000000001457  57B3,   ,   , ,  ,202008010107
7,0,5,1,0,1,0,000000100002471  68B2,   ,   , ,  ,202008010107
8,0,5,3,0,1,0,001000000012455  63B4,   ,   , ,  ,202008010107
9,0,4,3,0,1,0,100000000001263  63B2,   ,   , ,  ,202008010107
10,0,8,3,0,1,0,100000000002347  51B3,   ,   , ,  ,202008010107
11,0,5,1,0,1,0,001000000002451  44B3,   ,   , ,  ,202008010107
12,0,2,3,0,1,0,100000000001353  53A2,   ,   , ,  ,202008010107
13,0,5,2,0,0,0,100000000001459  59B3,   ,   , ,  ,202008010107
14,0,8,1,0,1,0,000000000002469  58B2,   ,   , ,  ,202008010107
15,0,5,1,0,1,0,000000000002474  67A2,   ,   , ,  ,202008010107
16,0,9,1,0,1,0,000000000002458  58C2,   ,   , ,  ,202008010107
1,0,5,1,0,1,0,000000000002461  60B3,   ,   , ,  ,202008010108
2,0,7,1,0,1,0,100000000001351  46B4,   ,   , ,  ,202008010108
3,0,8,3,0,1,0,001000000002457  54B3,   ,   , ,  ,202008010108
4,0,5,1,0,1,0,000000000002460  60B3,   ,   , ,  ,202008010108
5,0,7,2,0,0,0,100000000001473  73B1,   ,   , ,  ,202008010108
6,0,8,3,0,1,0,100000000001349  58B3,   ,   , ,  ,202008010108
7,0,3,3,0,1,0,100000000001466  65A3,   ,   , ,  ,202008010108
8,0,9,2,0,0,0,001000000001468  52C4,   ,   , ,  ,202008010108
9,0,5,1,0,1,0,100000000002465  58B3,   ,   , ,  ,202008010108
10,0,8,1,0,1,0,000000000002164  34D4,   ,   , ,  ,202008010108
11,0,2,1,0,1,0,001000000002452  52B3,   ,   , ,  ,202008010108
12,0,5,3,0,1,0,100000000002459  51B3,   ,   , ,  ,202008010108
13,0,5,1,0,1,0,000000000002466  62B2,   ,   , ,  ,202008010108
14,0,5,3,0,1,0,100000000001137  46B3,   ,   , ,  ,202008010108
15,0,6,3,0,1,0,100000000002155  56B3,   ,   , ,  ,202008010108
16,0,3,1,0,1,0,000000000002474  69B2,   ,   , ,  ,202008010108
1,0,2,1,0,1,0,000000000002470  70A3,   ,   , ,  ,202008010109
2,0,2,1,0,1,0,100000000001350  55B3,   ,   , ,  ,202008010109
3,0,9,2,0,0,0,100000000001454  54C3,   ,   , ,  ,202008010109
4,0,2,3,0,1,0,100000000011157  55A2,   ,   , ,  ,202008010109
5,0,6,1,0,1,0,000000000002354  59B3,   ,   , ,  ,202008010109
6,0,5,1,0,1,0,100000000001354  65B3,   ,   , ,  ,202008010109
7,0,8,3,0,1,0,100000000001360  56B3,   ,   , ,  ,202008010109
1,0,6,1,0,1,0,000000100002358  65B3,   ,   , ,  ,202008010110
2,0,3,1,0,1,0,000000000002463  63B3,   ,   , ,  ,202008010110
3,0,5,1,0,1,0,000000100002470  67B3,   ,   , ,  ,202008010110
4,0,6,1,0,1,0,000000000002461  61B3,   ,   , ,  ,202008010110
5,0,3,3,0,1,0,000000000011470  70B2,   ,   , ,  ,202008010110
6,0,5,1,0,1,0,000000100002266  62B2,   ,   , ,  ,202008010110
7,0,3,1,0,1,0,000000000002471  71B1,   ,   , ,  ,202008010110
8,0,5,1,0,1,0,000000000002462  60B3,   ,   , ,  ,202008010110
9,0,3,1,0,1,0,000000000002468  69B3,   ,   , ,  ,202008010110
10,0,5,3,0,1,0,10000000000249   48B3,   ,   , ,  ,202008010110
11,0,5,1,0,1,0,000000000002362  56B3,   ,   , ,  ,202008010110
12,0,2,1,0,1,0,000000000002468  68A2,   ,   , ,  ,202008010110
13,0,5,3,0,1,0,100000000001272  63B3,   ,   , ,  ,202008010110
14,0,9,2,0,0,0,100000000001453  53D3,   ,   , ,  ,202008010110
15,0,6,1,0,1,0,000000000002463  63B2,   ,   , ,  ,202008010110
16,0,5,1,0,1,0,000000000002463  62B3,   ,   , ,  ,202008010110
1,0,5,2,0,0,0,100000000001452  61B3,   ,   , ,  ,202008010111
2,0,8,2,0,0,0,100000000001480  73C3,   ,   , ,  ,202008010111
3,0,8,1,0,1,0,000000000002468  60C3,   ,   , ,  ,202008010111
4,0,3,1,0,1,0,000000000002469  69B2,   ,   , ,  ,202008010111
5,0,6,1,0,1,0,000000000002474  70B3,   ,   , ,  ,202008010111
6,0,5,1,0,1,0,000000100002472  70B3,   ,   , ,  ,202008010111
7,0,6,1,0,1,0,100000000002469  66B3,   ,   , ,  ,202008010111
8,0,8,2,0,0,0,100000000001477  73B2,   ,   , ,  ,202008010111
9,0,2,1,0,1,0,000000000002360  71B3,   ,   , ,  ,202008010111
10,0,2,1,0,1,0,000000000002363  55B3,   ,   , ,  ,202008010111
11,0,5,1,0,1,0,000000000002359  64B3,   ,   , ,  ,202008010111
12,0,5,2,0,0,0,100000000001351  62B3,   ,   , ,  ,202008010111
13,0,5,1,0,1,0,100000000002365  65B3,   ,   , ,  ,202008010111
14,0,3,3,0,1,0,100000000001469  63B3,   ,   , ,  ,202008010111
15,0,2,1,0,1,0,100000000001355  62A3,   ,   , ,  ,202008010111
16,0,5,2,0,0,0,100000000001447  62B3,   ,   , ,  ,202008010111
17,0,2,1,0,1,0,000000000002370  71A3,   ,   , ,  ,202008010111
18,0,5,3,0,1,0,100000000002460  63B3,   ,   , ,  ,202008010111
1,0,7,2,0,0,0,100000000001362  68C3,   ,   , ,  ,202008010112
2,0,6,1,0,1,0,000000000002462  62B3,   ,   , ,  ,202008010112
3,0,8,2,0,0,0,100000000001452  62B3,   ,   , ,  ,202008010112
