race_id,num_horses,tierce_count,tierce_min,tierce_max,tierce_median,tierce_p10
202506040104,16,3360,49.1,769999.8,12238.0,879.4
202506040105,16,3360,33.7,293812.1,9348.0,868.5
202506040106,16,3360,43.0,769999.8,10072.1,847.0
202506040107,18,4896,128.6,769999.8,9041.8,1107.2
202506040108,7,210,9.4,8059.2,376.5,49.2
202506040109,11,990,38.3,15782.7,1283.1,234.3
202506040110,8,336,17.4,6464.2,445.9,75.3
202506040111,16,3360,84.0,336293.4,6139.4,788.4
202506040112,16,3360,75.2,331242.8,6495.8,778.2
202509040101,9,504,20.7,8691.1,755.0,123.9
202509040102,5,60,6.2,553.3,71.1,12.5
202509040103,16,3360,76.2,267021.4,6101.8,781.4
202509040104,18,4896,62.4,769999.8,11886.6,1218.9
202509040105,11,990,85.9,27521.5,1028.7,190.5
202509040106,13,1716,43.0,49020.8,3574.3,396.9
202509040107,13,1716,74.6,45373.4,2593.6,405.6
202509040108,9,504,25.7,9305.8,640.0,120.5
202509040109,9,504,29.0,6892.4,640.6,114.5
202509040110,12,1320,76.1,24827.5,1557.6,324.0
202509040111,14,2184,54.1,60983.3,3716.2,510.1
202509040112,13,1716,34.1,88346.5,3941.2,397.2
202501020601,8,336,18.2,3570.7,399.4,80.7
202501020602,10,720,29.6,12051.3,1022.6,203.6
202501020603,14,2184,111.9,72656.4,2727.0,496.4
202501020604,16,3360,98.1,95383.4,5361.4,777.8
202501020605,14,2184,69.8,51951.3,3212.2,525.8
202501020606,12,1320,65.2,12699.3,1442.1,326.1
202501020607,13,1716,112.7,35324.2,1886.0,371.5
202501020608,16,3360,86.9,99661.1,5882.9,779.2
202501020609,14,2184,103.6,17860.9,2236.2,533.6
202501020610,14,2184,126.9,40058.9,2257.6,513.7
202501020611,12,1320,68.2,8445.0,1309.4,324.9
202501020612,14,2184,115.3,43656.6,2499.9,521.5
202506040201,13,1716,60.9,79661.4,2535.8,395.6
202506040202,16,3360,40.4,442314.4,9427.6,754.4
202506040203,15,2730,27.2,769999.8,11686.8,757.5
202506040204,10,720,16.0,21797.5,1341.4,157.6
202506040205,12,1320,46.1,25642.2,1899.3,333.5
202506040206,16,3360,212.4,769999.8,5499.6,688.5
202506040207,16,3360,129.1,769999.8,9818.0,620.7
202506040208,15,2730,25.9,494950.5,10494.6,760.1
202506040209,16,3360,71.5,765371.8,8117.8,812.9
202506040210,13,1716,48.4,85526.2,3032.3,384.4
202506040211,13,1716,56.3,64507.6,2573.3,401.5
202506040212,16,3360,72.8,769999.8,8551.9,801.1
202509040201,7,210,20.3,1712.6,188.3,53.2
202509040202,7,210,8.9,5774.8,365.5,46.6
202509040203,16,3360,53.7,235554.4,8074.5,831.1
202509040204,16,3360,52.6,622667.1,8128.5,803.7
202509040205,6,120,12.4,895.4,130.8,24.8
202509040206,15,2730,80.5,216542.6,5484.9,644.9
202509040207,9,504,26.0,9106.3,655.0,115.8
202509040208,5,60,4.5,913.7,88.1,12.4
202509040209,13,1716,53.2,59114.4,3147.6,407.4
202509040210,12,1320,31.7,34274.3,2597.8,313.1
202509040211,16,3360,52.7,241624.4,7326.9,821.2
202509040212,12,1320,58.8,26373.0,1673.4,301.8
202506040301,11,990,40.3,30034.4,1481.9,229.2
202506040302,11,990,50.9,52350.8,1534.4,202.1
202506040303,16,3360,109.6,229994.5,5400.4,763.2
202506040304,13,1716,52.1,67508.6,2862.6,383.4
202506040305,16,3360,43.2,769999.8,12739.3,890.0
202506040306,9,504,16.4,10948.9,832.9,122.0
202506040307,16,3360,95.7,102224.8,4861.7,790.0
202506040308,16,3360,29.8,769999.8,10388.7,929.7
202506040309,11,990,36.5,15930.1,1503.3,236.0
202506040310,11,990,49.8,47107.1,1342.6,221.1
202506040311,10,720,43.2,15415.8,878.0,155.0
202506040312,16,3360,34.3,769999.8,17665.3,1005.2
202509040301,8,336,26.3,4164.9,382.5,81.2
202509040302,8,336,14.9,8017.0,520.1,86.2
202509040303,5,60,4.5,883.3,85.0,12.8
202509040304,16,3360,64.7,769999.8,9087.6,782.1
202509040305,11,990,31.0,18109.7,1518.3,232.7
202509040306,13,1716,48.1,73253.0,2729.3,407.1
202509040307,18,4896,149.2,769999.8,9453.6,1047.7
202509040308,6,120,9.0,1900.3,152.2,28.6
