race_id,num_horses,wide_min,wide_max,wide_median
202005010303,16,2.9,214.3,50.9
202005010304,15,3.2,208.2,41.4
202005010305,16,2.3,250.0,59.9
202005010306,15,3.0,999.9,50.3
202005010307,16,3.6,260.1,50.3
202005010308,15,3.9,237.8,42.4
202005010309,16,3.8,263.6,51.1
202005010310,11,1.9,77.9,25.8
202005010311,16,2.6,237.0,58.3
202005010312,15,5.1,181.0,38.7
202008020301,12,1.9,139.3,31.8
202008020302,12,2.1,123.3,29.3
202008020303,15,3.2,205.4,46.6
202008020304,12,2.9,114.5,27.4
202008020305,12,3.5,141.5,24.8
202008020306,16,3.4,203.1,46.8
202008020307,16,3.4,229.9,58.6
202008020308,15,2.0,204.8,53.0
202008020309,12,3.2,84.2,23.5
202008020310,12,3.4,129.0,26.2
202008020311,16,1.9,205.6,64.2
202008020312,9,2.4,63.4,11.2
202010010701,14,2.9,147.6,34.8
202010010702,16,7.1,227.6,34.6
202010010703,15,2.0,199.5,55.3
202010010704,17,3.0,222.7,55.3
202010010705,10,2.1,76.4,18.3
202010010706,10,3.8,77.2,17.2
202010010707,10,2.0,93.2,20.3
202010010708,13,2.7,139.7,29.9
202010010709,11,2.6,116.1,19.3
202010010710,15,4.5,231.4,39.2
202010010711,12,4.0,93.2,23.7
202010010712,17,4.0,228.2,46.9
202005010401,16,2.8,241.1,60.8
202005010402,15,2.6,253.0,57.8
202005010403,16,3.3,213.5,47.1
202005010404,16,2.6,252.0,66.7
202005010405,16,2.4,239.0,57.5
202005010406,16,3.0,244.7,61.5
202005010407,12,3.0,169.2,27.4
202005010408,16,5.2,285.0,64.6
202005010409,9,2.4,43.3,11.4
202005010410,16,2.7,186.0,54.1
202005010411,16,3.0,153.2,43.9
202005010412,13,2.1,212.2,39.0
202008020401,16,2.6,191.4,51.6
202008020402,15,1.8,208.8,57.3
202008020403,12,2.1,112.8,30.4
202008020404,13,1.7,135.8,40.3
202008020405,12,1.8,143.4,29.3
202008020406,16,2.9,212.2,50.4
202008020407,13,2.3,159.9,34.8
202008020408,13,2.5,158.0,30.3
202008020409,16,3.1,196.2,58.0
202008020410,16,2.9,195.3,52.5
202008020411,8,2.0,49.0,9.7
202008020412,12,1.9,120.7,32.0
202010010801,14,2.5,172.5,38.5
202010010802,14,3.3,132.9,30.6
202010010803,18,5.7,200.2,54.4
202010010804,16,3.2,213.2,48.0
202010010805,18,4.5,236.5,62.7
202010010806,11,3.1,62.1,18.3
202010010807,9,2.4,55.9,12.4
202010010808,14,3.7,134.6,30.2
202010010809,18,4.2,243.1,62.6
202010010810,16,4.1,162.8,43.6
202010010811,13,3.5,175.0,28.1
202010010812,13,2.8,151.8,30.0
202005010501,16,3.1,252.3,56.3
202005010502,16,2.0,224.1,76.0
202005010503,16,3.1,254.6,54.6
202005010504,16,2.4,247.2,55.7
202005010505,16,2.2,236.1,71.4
202005010506,14,2.0,205.8,44.8
202005010507,16,2.7,249.2,51.0
202005010508,16,3.3,258.1,57.5
202005010509,15,3.1,199.8,39.6
202005010510,16,4.0,229.7,45.6
202005010511,14,3.6,203.6,37.4
202005010512,16,4.2,264.7,55.2
202008020501,16,2.1,222.8,65.0
202008020502,11,2.0,92.7,22.8
202008020503,16,3.3,214.6,52.0
202008020504,14,2.6,167.0,36.5
202008020505,13,1.9,154.4,39.1
202008020506,16,2.8,196.9,52.9
202008020507,16,2.5,209.8,49.1
202008020508,13,2.7,147.8,28.1
202008020509,7,1.6,32.5,6.7
202008020510,12,3.7,128.6,23.9
202008020511,13,3.8,147.0,26.8
202008020512,15,2.5,204.4,45.7
202010010901,14,4.3,91.9,31.2
202010010902,11,3.6,134.5,21.2
202010010903,14,2.8,167.1,31.4
202010010904,18,5.1,214.4,52.0
202010010905,12,2.8,91.7,24.7
202010010906,11,3.3,66.4,16.5
202010010907,10,2.0,44.3,12.6
202010010908,13,3.4,183.0,29.2
202010010909,14,3.7,100.0,31.1
202010010910,12,3.4,90.4,25.2
202010010911,17,3.5,203.7,51.9
202010010912,15,3.0,203.0,41.9
202005010601,16,3.4,255.3,61.5
202005010602,16,4.0,264.6,55.7
202005010603,16,4.2,257.2,54.2
202005010604,16,3.3,235.8,53.3
202005010605,16,1.9,232.6,54.1
202005010606,14,2.5,197.7,40.9
202005010607,16,2.5,245.1,49.2
202005010608,12,3.5,84.4,24.1
202005010609,15,3.2,207.2,39.8
202005010610,16,3.6,182.4,48.3
202005010611,9,1.6,96.1,15.6
202005010612,12,2.7,186.0,27.8
202008020601,15,2.6,211.5,42.9
202008020602,16,2.3,194.5,62.2
202008020603,13,2.7,146.4,28.3
202008020604,13,2.9,150.7,29.1
202008020605,14,2.9,174.3,37.1
202008020606,16,2.3,201.2,56.9
202008020607,16,3.2,171.0,49.4
202008020608,9,1.5,71.0,14.1
202008020609,7,2.0,19.0,6.0
202008020610,14,2.0,169.4,40.8
202008020611,10,1.8,999.9,20.0
202008020612,16,4.7,215.2,45.3
202010011001,16,3.4,221.2,49.6
202010011002,12,2.5,132.6,25.6
202010011003,18,4.4,256.5,61.5
202010011004,13,3.3,170.4,29.3
202010011005,12,3.5,91.4,23.8
202010011006,12,2.9,85.9,25.3
202010011007,13,3.4,157.6,29.1
202010011008,14,4.6,147.5,30.1
202010011009,14,5.5,200.3,36.5
202010011010,16,3.9,194.2,48.0
202010011011,17,3.0,199.6,58.9
202010011012,10,2.2,63.5,13.4
202005010701,16,2.2,228.3,64.0
202005010702,16,3.8,246.3,52.2
202005010703,16,3.5,270.3,47.1
202005010704,16,3.3,260.3,66.2
202005010705,16,3.8,265.3,61.1
202005010706,12,3.2,212.8,28.8
202005010707,16,2.4,219.0,55.3
202005010708,7,1.9,41.5,7.2
202005010709,16,3.6,229.7,47.4
