label,odds_band,course,nh_band,tc,condition,N,investment,payout,ROI%,hit%,CI_lo%,CI_hi%,p_value
strat7c,1-3,阪神,8-11,良,A,8,5600,3510,62.7,37.5,4.8,154.8,0.7815
strat7c,10-20,中山,15-18,良,C,2,1400,0,0.0,0.0,,,
strat7c,10-20,新潟,15-18,良,C,1,700,0,0.0,0.0,,,
strat7c,10-20,東京,12-14,稍,A,1,700,0,0.0,0.0,,,
strat7c,10-20,東京,12-14,良,A,3,2100,0,0.0,0.0,,,
strat7c,10-20,東京,15-18,稍,D,1,700,0,0.0,0.0,,,
strat7c,10-20,東京,15-18,良,C,2,1400,0,0.0,0.0,,,
strat7c,10-20,東京,15-18,良,D,1,700,7080,1011.4,100.0,,,
strat7c,10-20,福島,15-18,良,C,5,3500,1110,31.7,20.0,0.0,95.1,0.9512
strat7c,10-20,福島,15-18,良,D,1,700,0,0.0,0.0,,,
strat7c,10-20,阪神,12-14,良,A,1,700,910,130.0,100.0,,,
strat7c,10-20,阪神,15-18,重,D,1,700,0,0.0,0.0,,,
strat7c,20+,中山,12-14,稍,D,1,700,0,0.0,0.0,,,
strat7c,20+,新潟,15-18,良,D,1,700,0,0.0,0.0,,,
strat7c,20+,東京,15-18,良,C,1,700,0,0.0,0.0,,,
strat7c,20+,東京,15-18,良,D,1,700,0,0.0,0.0,,,
strat7c,20+,福島,15-18,良,C,1,700,14120,2017.1,100.0,,,
strat7c,20+,福島,15-18,良,D,1,700,0,0.0,0.0,,,
strat7c,3-5,中京,12-14,良,A,2,1400,1780,127.1,50.0,,,
strat7c,3-5,中京,15-18,良,C,5,3500,0,0.0,0.0,0.0,0.0,1.0
strat7c,3-5,中京,15-18,良,D,7,4900,7380,150.6,14.3,0.0,451.8,0.3741
strat7c,3-5,中山,12-14,良,A,2,1400,0,0.0,0.0,,,
strat7c,3-5,中山,12-14,良,D,1,700,0,0.0,0.0,,,
strat7c,3-5,中山,15-18,稍,C,1,700,0,0.0,0.0,,,
strat7c,3-5,中山,15-18,稍,D,1,700,0,0.0,0.0,,,
strat7c,3-5,中山,15-18,良,C,13,9100,22810,250.7,7.7,0.0,752.0,0.2795
strat7c,3-5,中山,15-18,良,D,5,3500,0,0.0,0.0,0.0,0.0,1.0
strat7c,3-5,中山,15-18,重,D,1,700,0,0.0,0.0,,,
strat7c,3-5,中山,8-11,良,A,1,700,0,0.0,0.0,,,
strat7c,3-5,新潟,12-14,良,D,1,700,0,0.0,0.0,,,
strat7c,3-5,新潟,15-18,良,C,1,700,0,0.0,0.0,,,
strat7c,3-5,新潟,15-18,良,D,2,1400,0,0.0,0.0,,,
strat7c,3-5,東京,12-14,稍,A,1,700,0,0.0,0.0,,,
strat7c,3-5,東京,15-18,稍,D,1,700,0,0.0,0.0,,,
strat7c,3-5,東京,15-18,良,C,4,2800,0,0.0,0.0,,,
strat7c,3-5,東京,15-18,良,D,3,2100,0,0.0,0.0,,,
strat7c,3-5,東京,8-11,良,A,1,700,430,61.4,100.0,,,
strat7c,3-5,東京,8-11,良,D,1,700,0,0.0,0.0,,,
strat7c,3-5,福島,15-18,良,C,7,4900,0,0.0,0.0,0.0,0.0,1.0
strat7c,3-5,福島,15-18,良,D,6,4200,4350,103.6,33.3,0.0,220.7,0.4796
strat7c,3-5,福島,8-11,良,A,1,700,0,0.0,0.0,,,
strat7c,3-5,阪神,12-14,良,A,1,700,0,0.0,0.0,,,
strat7c,3-5,阪神,12-14,良,D,1,700,0,0.0,0.0,,,
strat7c,3-5,阪神,15-18,稍,C,1,700,5850,835.7,100.0,,,
strat7c,3-5,阪神,15-18,稍,D,1,700,0,0.0,0.0,,,
strat7c,3-5,阪神,15-18,良,C,5,3500,0,0.0,0.0,0.0,0.0,1.0
strat7c,3-5,阪神,15-18,良,D,2,1400,0,0.0,0.0,,,
strat7c,3-5,阪神,8-11,稍,A,1,700,1040,148.6,100.0,,,
strat7c,3-5,阪神,8-11,良,A,3,2100,1660,79.0,33.3,,,
strat7c,5-10,中京,12-14,良,A,2,1400,1600,114.3,50.0,,,
strat7c,5-10,中京,12-14,良,D,1,700,0,0.0,0.0,,,
strat7c,5-10,中京,15-18,良,D,2,1400,3550,253.6,50.0,,,
strat7c,5-10,中山,12-14,良,A,3,2100,1690,80.5,33.3,,,
strat7c,5-10,中山,15-18,良,D,3,2100,0,0.0,0.0,,,
strat7c,5-10,新潟,12-14,良,D,1,700,1400,200.0,100.0,,,
strat7c,5-10,新潟,15-18,良,C,4,2800,7620,272.1,75.0,,,
strat7c,5-10,新潟,15-18,良,D,1,700,0,0.0,0.0,,,
strat7c,5-10,新潟,8-11,良,A,1,700,1370,195.7,100.0,,,
strat7c,5-10,東京,12-14,良,A,1,700,0,0.0,0.0,,,
strat7c,5-10,東京,15-18,稍,D,1,700,0,0.0,0.0,,,
strat7c,5-10,東京,15-18,良,C,1,700,2280,325.7,100.0,,,
strat7c,5-10,東京,15-18,良,D,1,700,0,0.0,0.0,,,
strat7c,5-10,福島,12-14,良,A,1,700,0,0.0,0.0,,,
strat7c,5-10,福島,12-14,良,D,1,700,3840,548.6,100.0,,,
strat7c,5-10,福島,15-18,良,C,5,3500,1390,39.7,20.0,0.0,119.1,0.8982
strat7c,5-10,福島,15-18,良,D,1,700,0,0.0,0.0,,,
strat7c,5-10,福島,8-11,良,A,1,700,9780,1397.1,100.0,,,
strat7c,5-10,福島,8-11,良,D,1,700,0,0.0,0.0,,,
strat7c,5-10,阪神,12-14,良,A,1,700,0,0.0,0.0,,,
strat7c,5-10,阪神,15-18,良,C,3,2100,0,0.0,0.0,,,
strat7c,5-10,阪神,15-18,良,D,4,2800,0,0.0,0.0,,,
strat7c,5-10,阪神,15-18,重,D,1,700,840,120.0,100.0,,,
strat7c,5-10,阪神,15-18,重,X,1,700,1160,165.7,100.0,,,
strat7c,5-10,阪神,8-11,良,A,1,700,0,0.0,0.0,,,
strat7c,NA,中京,12-14,NA,A,6,4200,14190,337.9,33.3,0.0,930.2,0.2253
strat7c,NA,中京,15-18,NA,C,8,5600,980,17.5,12.5,0.0,52.5,0.9989
strat7c,NA,中京,15-18,NA,D,6,4200,890,21.2,16.7,0.0,63.6,0.9931
strat7c,NA,中京,8-11,NA,A,1,700,0,0.0,0.0,,,
strat7c,NA,中山,12-14,NA,A,5,3500,10250,292.9,60.0,77.1,508.6,0.1044
strat7c,NA,中山,12-14,NA,D,1,700,0,0.0,0.0,,,
strat7c,NA,中山,12-14,稍,A,1,700,0,0.0,0.0,,,
strat7c,NA,中山,12-14,稍,D,1,700,5630,804.3,100.0,,,
strat7c,NA,中山,12-14,良,A,1,700,1620,231.4,100.0,,,
strat7c,NA,中山,12-14,良,D,1,700,0,0.0,0.0,,,
strat7c,NA,中山,15-18,NA,C,9,6300,3250,51.6,22.2,0.0,135.1,0.8606
strat7c,NA,中山,15-18,NA,D,9,6300,7080,112.4,44.4,19.4,250.0,0.425
strat7c,NA,中山,15-18,NA,X,4,2800,0,0.0,0.0,,,
strat7c,NA,中山,15-18,稍,D,1,700,510,72.9,100.0,,,
strat7c,NA,中山,15-18,良,C,2,1400,0,0.0,0.0,,,
strat7c,NA,中山,15-18,良,D,1,700,0,0.0,0.0,,,
strat7c,NA,中山,8-11,NA,A,1,700,380,54.3,100.0,,,
strat7c,NA,中山,8-11,NA,D,1,700,0,0.0,0.0,,,
strat7c,NA,中山,8-11,良,A,2,1400,0,0.0,0.0,,,
strat7c,NA,中山,NA,NA,A,1,700,640,91.4,100.0,,,
strat7c,NA,中山,NA,NA,C,1,700,0,0.0,0.0,,,
strat7c,NA,中山,NA,NA,D,3,2100,580,27.6,33.3,,,
strat7c,NA,中山,NA,NA,X,5,3500,0,0.0,0.0,0.0,0.0,1.0
strat7c,NA,新潟,12-14,稍,A,2,1400,0,0.0,0.0,,,
strat7c,NA,新潟,12-14,良,A,2,1400,0,0.0,0.0,,,
strat7c,NA,新潟,15-18,稍,D,4,2800,3680,131.4,25.0,,,
strat7c,NA,新潟,15-18,良,C,1,700,0,0.0,0.0,,,
strat7c,NA,新潟,15-18,良,D,1,700,0,0.0,0.0,,,
strat7c,NA,新潟,15-18,重,D,1,700,0,0.0,0.0,,,
strat7c,NA,新潟,15-18,重,X,4,2800,0,0.0,0.0,,,
strat7c,NA,東京,12-14,稍,A,1,700,0,0.0,0.0,,,
strat7c,NA,東京,12-14,良,A,1,700,560,80.0,100.0,,,
strat7c,NA,東京,12-14,良,D,1,700,0,0.0,0.0,,,
strat7c,NA,東京,15-18,稍,C,2,1400,2730,195.0,100.0,,,
strat7c,NA,東京,15-18,稍,D,5,3500,2920,83.4,20.0,0.0,250.3,0.5739
strat7c,NA,東京,15-18,良,C,8,5600,4560,81.4,25.0,0.0,181.4,0.63
strat7c,NA,東京,15-18,良,D,3,2100,0,0.0,0.0,,,
strat7c,NA,東京,15-18,重,D,2,1400,0,0.0,0.0,,,
strat7c,NA,東京,15-18,重,X,1,700,0,0.0,0.0,,,
strat7c,NA,東京,8-11,稍,A,3,2100,1150,54.8,33.3,,,
strat7c,NA,東京,8-11,良,A,3,2100,1280,61.0,33.3,,,
strat7c,NA,東京,8-11,良,D,1,700,1930,275.7,100.0,,,
strat7c,NA,福島,12-14,良,A,1,700,0,0.0,0.0,,,
strat7c,NA,福島,15-18,良,C,10,7000,25360,362.3,60.0,114.6,732.7,0.082
strat7c,NA,福島,15-18,良,D,9,6300,9980,158.4,33.3,0.0,355.9,0.2698
strat7c,NA,阪神,12-14,NA,A,7,4900,1450,29.6,28.6,0.0,73.7,0.9906
strat7c,NA,阪神,12-14,NA,D,2,1400,0,0.0,0.0,,,
strat7c,NA,阪神,12-14,良,A,2,1400,0,0.0,0.0,,,
strat7c,NA,阪神,15-18,NA,C,4,2800,0,0.0,0.0,,,
strat7c,NA,阪神,15-18,NA,D,8,5600,3500,62.5,25.0,0.0,171.8,0.7448
strat7c,NA,阪神,15-18,稍,C,1,700,0,0.0,0.0,,,
strat7c,NA,阪神,15-18,稍,D,3,2100,510,24.3,33.3,,,
strat7c,NA,阪神,15-18,良,C,2,1400,0,0.0,0.0,,,
strat7c,NA,阪神,8-11,NA,A,5,3500,2780,79.4,60.0,11.4,158.9,0.6733
strat7c,NA,阪神,8-11,NA,D,3,2100,2300,109.5,66.7,,,
strat7c,NA,阪神,8-11,稍,A,1,700,18760,2680.0,100.0,,,
strat7c,NA,阪神,8-11,良,A,1,700,0,0.0,0.0,,,
strat7c,NA,阪神,NA,NA,A,2,1400,0,0.0,0.0,,,
strat7c,NA,阪神,NA,NA,C,1,700,0,0.0,0.0,,,
strat7c,NA,阪神,NA,NA,D,5,3500,54840,1566.9,20.0,0.0,4700.6,0.2011
strat7c,NA,阪神,NA,NA,X,1,700,0,0.0,0.0,,,
