kaisai_key,yyyymmdd,kaisai_ku,youbi,course_name,weather_code,turf_baba_code,turf_baba_inner,turf_baba_mid,turf_baba_outer,turf_baba_sa,straight_sa_most,straight_sa_inner,straight_sa_mid,straight_sa_outer,straight_sa_far,dirt_baba_code,dirt_baba_inner,dirt_baba_mid,dirt_baba_outer,dirt_baba_sa,data_ku,renzoku_day,turf_type,grass_height,tennatsu,touketsu,rain_mid
2020060204,20200308,1,日,中山,4,1,1.0,1.0,1.0,-13.0,-1.0,-1.0,0.0,0.0,0.0,1,3.0,3.0,3.0,-8.0,4,,,,,,
2020070104,20200308,3,日,中京,4,2,1.0,1.0,1.0,-10.0,-1.0,-1.0,0.0,0.0,0.0,3,1.0,1.0,1.0,-15.0,4,,,,,,
2020090104,20200308,2,日,阪神,4,2,1.0,1.0,1.0,-3.0,-1.0,-1.0,0.0,0.0,0.0,3,1.0,1.0,1.0,-14.0,4,,,,,,
2020060205,20200314,1,土,中山,4,2,2.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,3,1.0,1.0,1.0,-18.0,4,,,,,,
2020070105,20200314,3,土,中京,4,2,3.0,2.0,2.0,5.0,1.0,1.0,0.0,0.0,0.0,3,1.0,1.0,1.0,-15.0,4,,,,,,
2020090105,20200314,2,土,阪神,4,2,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,1.0,1.0,-14.0,4,,,,,,
2020060206,20200315,1,日,中山,1,2,2.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,3,1.0,1.0,1.0,-18.0,4,,,,,,
2020070106,20200315,3,日,中京,1,2,3.0,2.0,2.0,5.0,1.0,1.0,0.0,0.0,0.0,2,2.0,2.0,2.0,-3.0,4,,,,,,
2020090106,20200315,2,日,阪神,1,2,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,1.0,1.0,-14.0,4,,,,,,
2020090107,20200320,2,金,阪神,1,1,2.0,2.0,2.0,-11.0,0.0,0.0,0.0,0.0,0.0,1,3.0,3.0,3.0,-6.0,4,,,,,,
2020060207,20200320,1,金,中山,1,1,3.0,2.0,2.0,-5.0,1.0,1.0,0.0,0.0,0.0,2,2.0,2.0,2.0,-11.0,4,,,,,,
2020060208,20200321,1,土,中山,1,1,3.0,2.0,2.0,-5.0,1.0,1.0,0.0,0.0,0.0,1,3.0,3.0,3.0,-8.0,4,,,,,,
2020090108,20200321,2,土,阪神,1,1,2.0,2.0,2.0,-11.0,0.0,0.0,0.0,0.0,0.0,1,3.0,3.0,3.0,-6.0,4,,,,,,
2020090109,20200322,2,日,阪神,2,1,2.0,2.0,2.0,-11.0,0.0,0.0,0.0,0.0,0.0,1,3.0,3.0,3.0,-6.0,4,,,,,,
2020060209,20200322,1,日,中山,1,1,3.0,2.0,2.0,-5.0,1.0,1.0,0.0,0.0,0.0,1,3.0,3.0,3.0,-8.0,4,,,,,,
2020060301,20200328,1,土,中山,4,2,3.0,2.0,2.0,-6.0,1.0,1.0,0.0,0.0,0.0,3,1.0,1.0,1.0,-18.0,4,,,,,,
2020070107,20200328,3,土,中京,4,3,3.0,2.0,2.0,5.0,1.0,1.0,0.0,0.0,0.0,4,1.0,1.0,1.0,-17.0,4,,,,,,
2020090201,20200328,2,土,阪神,4,4,3.0,2.0,2.0,15.0,1.0,1.0,0.0,0.0,0.0,4,1.0,1.0,1.0,-21.0,4,,,,,,
2020060302,20200329,1,日,中山,6,3,3.0,2.0,2.0,-3.0,1.0,1.0,0.0,0.0,0.0,4,1.0,1.0,1.0,-23.0,4,,,,,,
2020070108,20200329,3,日,中京,4,3,3.0,2.0,2.0,5.0,1.0,1.0,0.0,0.0,0.0,4,1.0,1.0,1.0,-17.0,4,,,,,,
2020090202,20200329,2,日,阪神,4,3,3.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,4,1.0,1.0,1.0,-21.0,4,,,,,,
2020060302,20200331,1,火,中山,2,2,3.0,2.0,2.0,-7.0,1.0,1.0,0.0,0.0,0.0,3,1.0,1.0,1.0,-18.0,4,,,,,,
2020060303,20200404,1,土,中山,1,1,2.0,2.0,2.0,-3.0,0.0,0.0,0.0,0.0,0.0,1,3.0,3.0,3.0,-8.0,4,,,,,,
2020090203,20200404,2,土,阪神,1,1,2.0,2.0,2.0,-8.0,0.0,0.0,0.0,0.0,0.0,2,2.0,2.0,2.0,-9.0,4,,,,,,
2020060304,20200405,1,日,中山,2,1,2.0,2.0,2.0,-3.0,0.0,0.0,0.0,0.0,0.0,1,3.0,3.0,3.0,-8.0,4,,,,,,
2020090204,20200405,2,日,阪神,1,1,2.0,2.0,2.0,-8.0,0.0,0.0,0.0,0.0,0.0,1,3.0,3.0,3.0,-6.0,4,,,,,,
2020030101,20200411,3,土,福島,1,1,1.0,1.0,1.0,-16.0,-1.0,-1.0,0.0,0.0,0.0,1,3.0,3.0,3.0,-3.0,4,,,,,,
2020060305,20200411,1,土,中山,1,1,3.0,2.0,2.0,-6.0,1.0,1.0,0.0,0.0,0.0,1,3.0,3.0,3.0,-8.0,4,,,,,,
2020090205,20200411,2,土,阪神,1,1,2.0,2.0,2.0,-8.0,0.0,0.0,0.0,0.0,0.0,1,3.0,3.0,3.0,-6.0,4,,,,,,
2020030102,20200412,3,日,福島,2,1,1.0,1.0,1.0,-16.0,-1.0,-1.0,0.0,0.0,0.0,1,3.0,3.0,3.0,-3.0,4,,,,,,
2020060306,20200412,1,日,中山,2,2,3.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2,2.0,2.0,2.0,-11.0,4,,,,,,
2020090206,20200412,2,日,阪神,4,2,2.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,3,1.0,1.0,1.0,-14.0,4,,,,,,
2020030103,20200418,3,土,福島,4,2,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3,1.0,1.0,1.0,-12.0,4,,,,,,
2020060307,20200418,1,土,中山,4,2,3.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,3,1.0,1.0,1.0,-18.0,4,,,,,,
2020090207,20200418,2,土,阪神,4,3,3.0,2.0,2.0,15.0,1.0,1.0,0.0,0.0,0.0,3,1.0,1.0,1.0,-14.0,4,,,,,,
2020090208,20200419,2,日,阪神,2,2,3.0,2.0,2.0,10.0,1.0,1.0,0.0,0.0,0.0,3,1.0,1.0,1.0,-14.0,4,,,,,,
2020060308,20200419,1,日,中山,1,3,3.0,2.0,2.0,6.0,1.0,1.0,0.0,0.0,0.0,4,1.0,1.0,1.0,-23.0,4,,,,,,
2020030104,20200419,3,日,福島,2,3,2.0,2.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,3,1.0,1.0,1.0,-12.0,4,,,,,,
2020030105,20200425,3,土,福島,1,1,2.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1,3.0,3.0,3.0,-3.0,4,,,,,,
2020050201,20200425,1,土,東京,1,1,1.0,1.0,1.0,-18.0,1.0,1.0,0.0,0.0,0.0,1,3.0,3.0,3.0,-4.0,4,,,,,,
2020080301,20200425,2,土,京都,1,1,2.0,1.0,1.0,-8.0,0.0,0.0,0.0,0.0,0.0,1,3.0,3.0,3.0,-1.0,4,,,,,,
2020030106,20200426,3,日,福島,1,1,2.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1,3.0,3.0,3.0,-3.0,4,,,,,,
2020050202,20200426,1,日,東京,1,1,1.0,1.0,1.0,-18.0,1.0,1.0,0.0,0.0,0.0,1,3.0,3.0,3.0,-4.0,4,,,,,,
2020080302,20200426,2,日,京都,2,1,2.0,1.0,1.0,-8.0,0.0,0.0,0.0,0.0,0.0,1,3.0,3.0,3.0,-1.0,4,,,,,,
2020030107,20200502,3,土,福島,1,1,3.0,2.0,2.0,-14.0,1.0,1.0,0.0,0.0,0.0,1,3.0,3.0,3.0,-3.0,4,,,,,,
2020050203,20200502,1,土,東京,1,1,1.0,1.0,1.0,-18.0,0.0,0.0,0.0,0.0,0.0,1,3.0,3.0,3.0,-4.0,4,,,,,,
2020080303,20200502,2,土,京都,1,1,2.0,2.0,2.0,-16.0,0.0,0.0,0.0,0.0,0.0,1,3.0,3.0,3.0,-1.0,4,,,,,,
2020030108,20200503,3,日,福島,1,1,3.0,2.0,2.0,-14.0,1.0,1.0,0.0,0.0,0.0,1,3.0,3.0,3.0,-3.0,4,,,,,,
2020050204,20200503,1,日,東京,1,1,1.0,1.0,1.0,-18.0,0.0,0.0,0.0,0.0,0.0,1,3.0,3.0,3.0,-4.0,4,,,,,,
2020080304,20200503,2,日,京都,2,1,2.0,2.0,2.0,-16.0,0.0,0.0,0.0,0.0,0.0,1,4.0,4.0,4.0,-1.0,4,,,,,,
2020040101,20200509,3,土,新潟,2,1,2.0,2.0,2.0,-11.0,0.0,0.0,0.0,0.0,0.0,1,3.0,3.0,3.0,-8.0,4,,,,,,
2020050205,20200509,1,土,東京,1,1,2.0,2.0,2.0,-17.0,0.0,0.0,0.0,0.0,0.0,1,3.0,3.0,3.0,-4.0,4,,,,,,
2020080305,20200509,2,土,京都,2,1,3.0,2.0,2.0,-13.0,1.0,1.0,0.0,0.0,0.0,1,4.0,4.0,4.0,-1.0,4,,,,,,
