race_id,course,race_num,race_name,condition,num_horses,distance,surface,track_condition,top1_num,top1_name,top1_score,top2_num,top3_num,top1_finish,top2_finish,top3_finish,trio_bets,trio_result,bet_type,trio_hit,trio_payout,umaren_payout,actual_payout,investment,profit,status,date,umaren_hit,trio_bets_str,top2_name,top2_score,top3_name,top3_score,top1_num_recovered,top1_num_dp,top1_num_final,track_code,track,horse_num,odds,pop_rank,hit
202609020703,阪神,3,3歳未勝利,C,,2000.0,ダ,,,,,,,7.0,2,1,,6-9-10,trio,0.0,0,0,0.0,700,-700.0,settled,20260418,0.0,5-6-13; 5-9-13; 6-9-13; 6-10-13; 6-11-13; 9-10-13; 9-11-13,,,,,13.0,13.0,13.0,09,阪神,13.0,10.2,4.0,False
202609020704,阪神,4,3歳未勝利,C,,1800.0,芝,,,,,,,1.0,3,4,,3-5-12,trio,0.0,0,0,0.0,700,-700.0,settled,20260418,0.0,1-2-5; 1-3-5; 1-5-9; 1-5-11; 2-3-5; 3-5-9; 3-5-11,,,,,5.0,5.0,5.0,09,阪神,5.0,3.5,1.0,False
202609020705,阪神,5,3歳1勝クラス,E,,2000.0,芝,,,,,,,4.0,1,2,,3-4-6,umaren,0.0,0,0,0.0,700,-700.0,settled,20260418,0.0,1-3; 1-4,,,,,1.0,1.0,1.0,09,阪神,1.0,5.4,4.0,False
202609020706,阪神,6,3歳1勝クラス,C,,1800.0,ダ,,,,,,,3.0,8,5,,6-7-8,trio,0.0,0,0,0.0,700,-700.0,settled,20260418,0.0,2-6-12; 2-6-14; 3-6-12; 3-6-14; 6-8-12; 6-8-14; 6-12-14,,,,,6.0,6.0,6.0,09,阪神,6.0,2.6,1.0,False
202609020707,阪神,7,4歳以上1勝クラス,A,,1600.0,芝,,,,,,,1.0,8,2,,1-2-11,trio,1.0,1530,0,1530.0,700,830.0,settled,20260418,0.0,1-2-3; 1-2-11; 1-2-12; 1-2-13; 2-3-12; 2-11-12; 2-12-13,,,,,2.0,2.0,2.0,09,阪神,2.0,3.8,1.0,True
202609020708,阪神,8,4歳以上1勝クラス,A,,2400.0,芝,,,,,,,1.0,2,5,,1-4-8,trio,1.0,660,0,660.0,700,-40.0,settled,20260418,0.0,1-4-7; 1-4-8; 4-6-7; 4-6-8; 4-7-8; 4-7-9; 4-8-9,,,,,4.0,4.0,4.0,09,阪神,4.0,5.2,2.0,True
202609020709,阪神,9,吹田特別,D,,1400.0,ダ,,,,,,,3.0,2,8,,2-3-4,trio,1.0,3460,0,3460.0,700,2760.0,settled,20260418,0.0,2-3-4; 2-3-11; 2-4-6; 2-4-11; 2-4-12; 2-6-11; 2-11-12,,,,,2.0,2.0,2.0,09,阪神,2.0,6.7,3.0,True
202609020710,阪神,10,丹波特別,D,,1400.0,芝,,,,,,,6.0,3,5,,1-6-7,trio,0.0,0,0,0.0,700,-700.0,settled,20260418,0.0,1-2-4; 1-4-6; 1-4-7; 1-4-8; 2-4-6; 2-4-7; 2-4-8,,,,,4.0,4.0,4.0,09,阪神,4.0,1.5,1.0,False
202609020711,阪神,11,アンタレスS,C,,1800.0,ダ,,,,,,,1.0,6,4,,2-4-5,trio,0.0,0,0,0.0,700,-700.0,settled,20260418,0.0,1-2-4; 1-3-4; 1-4-6; 1-4-12; 2-3-4; 3-4-6; 3-4-12,,,,,4.0,4.0,4.0,09,阪神,4.0,3.9,1.0,False
202609020712,阪神,12,4歳以上1勝クラス,D,,1200.0,ダ,,,,,,,8.0,1,2,,10-11-14,trio,0.0,0,0,0.0,700,-700.0,settled,20260418,0.0,7-11-12; 7-12-14; 10-11-12; 10-12-14; 11-12-13; 11-12-14; 12-13-14,,,,,12.0,12.0,12.0,09,阪神,12.0,3.7,1.0,False
202604010102,新潟,2,3歳未勝利,X,,1800.0,ダ,,,,,,,6,12,3,,4-5-6,trio,0.0,0,0,0.0,700,-700.0,settled,20260502,0.0,3-5-10; 3-6-10; 3-7-10; 3-10-11; 5-6-10; 6-7-10; 6-10-11,,,,,10.0,,10.0,04,新潟,10.0,38.0,11.0,False
202604010103,新潟,3,3歳未勝利,D,,1200.0,ダ,,,,,,,4,2,3,,3-4-8,trio,0.0,0,0,0.0,700,-700.0,settled,20260502,0.0,2-3-6; 2-4-6; 3-4-6; 3-6-8; 3-6-9; 4-6-8; 4-6-9,,,,,6.0,,6.0,04,新潟,6.0,28.5,10.0,False
202604010105,新潟,5,3歳未勝利,D,,1400.0,芝,,,,,,,4,13,5,,10-13-16,trio,0.0,0,0,0.0,700,-700.0,settled,20260502,0.0,1-4-9; 1-9-14; 4-9-10; 4-9-14; 4-9-15; 9-10-14; 9-14-15,,,,,9.0,,9.0,04,新潟,9.0,19.7,8.0,False
202604010106,新潟,6,3歳未勝利,B,,2200.0,芝,,,,,,,1,9,3,,5-6-8,trio,0.0,0,0,0.0,700,-700.0,settled,20260502,0.0,3-4-5; 3-5-6; 3-5-7; 3-5-10; 4-5-6; 5-6-7; 5-6-10,,,,,5.0,,5.0,04,新潟,5.0,3.7,2.0,False
202604010107,新潟,7,4歳以上1勝クラス,X,,1800.0,ダ,,,,,,,1,13,10,,1-2-14,trio,0.0,0,0,0.0,700,-700.0,settled,20260502,0.0,1-3-10; 1-3-11; 1-7-10; 1-7-11; 1-10-11; 1-10-12; 1-11-12,,,,,1.0,,1.0,04,新潟,1.0,26.6,11.0,False
202604010108,新潟,8,4歳以上1勝クラス,B,,1600.0,芝,,,,,,,1,9,6,,1-10-12,trio,0.0,0,0,0.0,700,-700.0,settled,20260502,0.0,1-3-5; 1-3-8; 1-3-10; 1-3-12; 1-5-8; 1-8-10; 1-8-12,,,,,1.0,,1.0,04,新潟,1.0,18.7,8.0,False
202604010109,新潟,9,わらび賞,X,,1800.0,ダ,,,,,,,10,6,7,,6-11-12,trio,0.0,0,0,0.0,700,-700.0,settled,20260502,0.0,1-5-8; 1-5-11; 1-5-12; 1-5-13; 1-8-13; 1-11-13; 1-12-13,,,,,1.0,,1.0,04,新潟,1.0,20.0,10.0,False
202604010110,新潟,10,胎内川特別,X,,1800.0,芝,,,,,,,5,2,11,,4-8-15,trio,0.0,0,0,0.0,700,-700.0,settled,20260502,0.0,3-11-12; 3-12-15; 6-11-12; 6-12-15; 11-12-14; 11-12-15; 12-14-15,,,,,12.0,,12.0,04,新潟,12.0,7.7,3.0,False
202604010111,新潟,11,三条S,X,,1800.0,ダ,,,,,,,6,2,14,,5-12-13,trio,0.0,0,0,0.0,700,-700.0,settled,20260502,0.0,1-6-9; 1-6-12; 1-9-10; 1-9-11; 1-9-12; 1-10-12; 1-11-12,,,,,1.0,,1.0,04,新潟,1.0,22.9,11.0,False
202605020301,東京,1,3歳未勝利,D,,1400.0,ダ,,,,,,,1,2,16,,1-10-14,trio,0.0,0,0,0.0,700,-700.0,settled,20260502,0.0,1-2-14; 1-12-14; 1-14-15; 1-14-16; 2-12-14; 2-14-15; 2-14-16,,,,,14.0,,14.0,05,東京,14.0,4.3,3.0,False
202605020302,東京,2,3歳未勝利,B,,1600.0,ダ,,,,,,,2,1,11,,3-5-14,trio,1.0,350,0,350.0,700,-350.0,settled,20260502,0.0,1-2-5; 1-3-5; 1-5-13; 1-5-14; 2-3-5; 3-5-13; 3-5-14,,,,,5.0,,5.0,05,東京,5.0,19.1,9.0,True
202605020303,東京,3,3歳未勝利,B,,2100.0,ダ,,,,,,,4,7,5,,3-8-9,trio,0.0,0,0,0.0,700,-700.0,settled,20260502,0.0,1-5-6; 1-5-7; 1-6-7; 1-6-8; 1-6-9; 1-7-8; 1-7-9,,,,,1.0,,1.0,05,東京,1.0,22.8,9.0,False
202605020304,東京,4,3歳未勝利,A,,2000.0,芝,,,,,,,1,4,2,,5-6-10,trio,1.0,1150,0,1150.0,700,450.0,settled,20260502,0.0,1-2-6; 1-6-10; 2-3-6; 2-5-6; 2-6-10; 3-6-10; 5-6-10,,,,,6.0,,6.0,05,東京,6.0,42.8,14.0,True
202605020305,東京,5,3歳1勝クラス,D,,1400.0,芝,,,,,,,8,6,14,,3-8-9,trio,0.0,0,0,0.0,700,-700.0,settled,20260502,0.0,3-10-12; 3-10-15; 6-10-12; 6-10-15; 10-12-15; 10-12-16; 10-15-16,,,,,10.0,,10.0,05,東京,10.0,15.1,6.0,False
202605020306,東京,6,4歳以上1勝クラス,E,,2000.0,芝,,,,,,,2,1,4,,3-6-7,umaren,0.0,0,120,120.0,700,-580.0,settled,20260502,1.0,6-7; 4-7,,,,,7.0,,7.0,05,東京,7.0,2.5,1.0,True
202605020307,東京,7,4歳以上1勝クラス,D,,1400.0,ダ,,,,,,,4,7,2,,9-12-13,trio,0.0,0,0,0.0,700,-700.0,settled,20260502,0.0,2-3-15; 2-13-15; 3-11-15; 3-12-15; 3-13-15; 11-13-15; 12-13-15,,,,,15.0,,15.0,05,東京,15.0,156.4,15.0,False
202605020308,東京,8,4歳以上2勝クラス,A,,2400.0,芝,,,,,,,5,1,3,,3-5-6,trio,0.0,0,0,0.0,700,-700.0,settled,20260502,0.0,1-2-3; 1-2-5; 1-3-5; 1-3-6; 1-3-8; 1-5-6; 1-5-8,,,,,1.0,,1.0,05,東京,1.0,7.7,3.0,False
202605020309,東京,9,是政S,X,,2100.0,ダ,,,,,,,6,3,15,,2-12-14,trio,0.0,0,0,0.0,700,-700.0,settled,20260502,0.0,1-2-8; 1-2-14; 1-8-10; 1-8-12; 1-8-14; 1-10-14; 1-12-14,,,,,1.0,,1.0,05,東京,1.0,3.5,2.0,False
202605020310,東京,10,スイートピーS,A,,1800.0,芝,,,,,,,2,4,1,,2-6-11,trio,0.0,0,0,0.0,700,-700.0,settled,20260502,0.0,3-6-9; 3-6-11; 4-6-9; 4-6-11; 6-8-9; 6-8-11; 6-9-11,,,,,6.0,,6.0,05,東京,6.0,13.6,7.0,False
202605020311,東京,11,京王杯SC,D,,1400.0,芝,,,,,,,11,3,9,,6-14-16,trio,0.0,0,0,0.0,700,-700.0,settled,20260502,0.0,1-2-10; 1-2-12; 1-2-14; 1-2-16; 1-10-14; 1-12-14; 1-14-16,,,,,1.0,,1.0,05,東京,1.0,3.7,1.0,False
202605020312,東京,12,4歳以上2勝クラス,B,,1600.0,ダ,,,,,,,1,2,9,,2-5-7,trio,1.0,1810,0,1810.0,700,1110.0,settled,20260502,0.0,2-5-6; 2-5-7; 2-5-9; 2-5-14; 5-6-14; 5-7-14; 5-9-14,,,,,5.0,,5.0,05,東京,5.0,27.8,11.0,True
202608030301,京都,1,3歳未勝利,D,,1200.0,ダ,,,,,,,1,2,16,,3-5-11,trio,0.0,0,0,0.0,700,-700.0,settled,20260502,0.0,1-5-11; 1-5-16; 5-7-11; 5-7-16; 5-9-11; 5-9-16; 5-11-16,,,,,5.0,,5.0,08,京都,5.0,68.1,15.0,False
