race_id,category,value
202603010310,このコースが得意な騎手,松若風馬
202603010310,このコースが得意な調教師,小林真也
202603010310,このコースに実績がある種牡馬,スクリーンヒーロー
202603010310,このコースに実績がある母父,Exceed And
202603010310,このコースが得意な馬,ルールウアーエイト
202603010310,この距離が得意な馬,ホウオメリザスイー
202603010310,この競馬場が得意な馬,ウアールールマーゴ
202603010310,今回の馬場状態が得意な馬,ホウオディアフィオ
202603010310,今回のレース間隔で実績がある馬,ホウオマーゴエイト
202603010310,今回の調教評価で実績がある馬,レース前日13時公開予定
202603010310,今回の厩舎コメント評価で実績がある馬,レース前日13時公開予定
202603010310,今回のオッズで期待できる騎手,発売開始後公開予定
202603010310,今回の調教師と相性の良い騎手,杉原誠人
202603010310,今回の馬主と相性の良い騎手,推奨なし
202603010310,race_info,14:40発走 /芝2000m(右 A)
202603010310,race_detail,"1回福島3日目サラ系４歳以上１勝クラス牝[指]定量8頭本賞金:1140,460,290,170,114万円"
202603010311,このコースで有利な枠順,6枠8枠2枠
202603010311,このコースで有利な脚質,逃げ
202603010311,このコースが得意な騎手,斎藤新
202603010311,このコースが得意な調教師,宮徹
202603010311,このコースに実績がある種牡馬,アドマイヤマーズ
202603010311,このコースに実績がある母父,Equal Stri
202603010311,このコースが得意な馬,14ステラ
202603010311,この距離が得意な馬,4サンド
202603010311,この競馬場が得意な馬,14ステラ
202603010311,今回の馬場状態が得意な馬,13ラマン
202603010311,今回のレース間隔で実績がある馬,10ライフ
202603010311,今回の調教評価で実績がある馬,レース前日13時公開予定
202603010311,今回の厩舎コメント評価で実績がある馬,レース前日13時公開予定
202603010311,今回のオッズで期待できる騎手,発売開始後公開予定
202603010311,今回の調教師と相性の良い騎手,小沢大仁
202603010311,今回の馬主と相性の良い騎手,推奨なし
202603010311,race_info,15:15発走 /ダ1700m(右)
202603010311,race_detail,"1回福島3日目サラ系４歳以上２勝クラス(混)[指]ハンデ15頭本賞金:1580,630,400,240,158万円"
202603010312,このコースで有利な枠順,1枠3枠2枠
202603010312,このコースで有利な脚質,逃げ
202603010312,このコースが得意な騎手,
202603010312,このコースが得意な調教師,杉山晴紀
202603010312,このコースに実績がある種牡馬,ゴールドアクター
202603010312,このコースに実績がある母父,コマンズ
202603010312,このコースが得意な馬,7ハルオ3デボラ13ジーテ
