trainer_id,trainer,total_races,wins,top3,total_prize,win_rate,top3_rate,turf_races,turf_wins,turf_top3,turf_wr,dirt_races,dirt_wins,dirt_top3,dirt_wr
01067,久保田貴,2709,246,688,462976,0.09080841638981174,0.25396825396825395,1352.0,119.0,337.0,0.08801775147928995,1357.0,127.0,351.0,0.09358879882092852
01068,小島茂之,2500,179,501,347581,0.0716,0.2004,1533.0,120.0,345.0,0.07827788649706457,967.0,59.0,156.0,0.06101344364012409
01069,中尾秀正,2584,164,528,323953,0.06346749226006192,0.2043343653250774,1082.0,65.0,203.0,0.06007393715341959,1502.0,99.0,325.0,0.0659121171770972
01070,堀宣行,2575,489,991,1213418,0.18990291262135922,0.38485436893203884,1901.0,351.0,735.0,0.1846396633350868,674.0,138.0,256.0,0.20474777448071216
01071,池江泰寿,3521,465,1224,1453354,0.13206475433115591,0.34762851462652655,2648.0,369.0,974.0,0.13935045317220543,873.0,96.0,250.0,0.10996563573883161
01072,河内洋,2452,175,584,371193,0.07137030995106036,0.23817292006525284,1392.0,102.0,349.0,0.07327586206896551,1060.0,73.0,235.0,0.06886792452830189
01073,宮本博,2797,187,643,437579,0.06685734715766893,0.22988916696460493,1495.0,94.0,372.0,0.06287625418060201,1302.0,93.0,271.0,0.07142857142857142
01074,奥平雅士,2574,135,476,223252,0.05244755244755245,0.18492618492618493,875.0,31.0,135.0,0.03542857142857143,1699.0,104.0,341.0,0.06121247792819305
01075,矢作芳人,5595,568,1517,1474105,0.10151921358355674,0.2711349419124218,3498.0,360.0,958.0,0.10291595197255575,2097.0,208.0,559.0,0.09918931807343824
01076,小笠倫弘,2589,157,481,255127,0.06064117419853225,0.1857860177674778,949.0,37.0,141.0,0.03898840885142255,1640.0,120.0,340.0,0.07317073170731707
01077,加藤和宏,2391,36,196,87374,0.015056461731493099,0.08197406942701799,1107.0,14.0,101.0,0.012646793134598013,1284.0,22.0,95.0,0.017133956386292833
01078,北出成人,3098,189,630,403488,0.06100710135571336,0.20335700451904454,1524.0,87.0,313.0,0.05708661417322835,1574.0,102.0,317.0,0.06480304955527319
01079,古賀慎明,2607,177,616,337378,0.06789413118527042,0.23628691983122363,1354.0,95.0,358.0,0.07016248153618906,1253.0,82.0,258.0,0.06544293695131684
01080,清水英克,2601,124,413,213303,0.04767397154940407,0.1587850826605152,1280.0,67.0,206.0,0.05234375,1321.0,57.0,207.0,0.04314912944738834
01081,中川公成,2406,171,499,325956,0.07107231920199501,0.20739817123857024,953.0,70.0,204.0,0.07345225603357818,1453.0,101.0,295.0,0.06951135581555402
01082,平田修,2835,206,614,430983,0.07266313932980599,0.21657848324514992,1365.0,97.0,284.0,0.07106227106227106,1470.0,109.0,330.0,0.07414965986394557
01083,松永昌博,2233,171,528,338910,0.07657859381997313,0.23645320197044334,875.0,50.0,181.0,0.05714285714285714,1358.0,121.0,347.0,0.08910162002945508
01084,梅田智之,3075,198,630,438401,0.06439024390243903,0.2048780487804878,1585.0,97.0,299.0,0.061198738170347,1490.0,101.0,331.0,0.06778523489932886
01085,小崎憲,2686,160,510,287356,0.05956813104988831,0.189873417721519,1004.0,42.0,150.0,0.04183266932270916,1682.0,118.0,360.0,0.07015457788347206
01086,斎藤誠,3961,371,1036,670579,0.09366321635950517,0.26155011360767483,2103.0,183.0,526.0,0.08701854493580599,1858.0,188.0,510.0,0.10118406889128095
01087,庄野靖志,2688,221,650,532920,0.0822172619047619,0.2418154761904762,1306.0,109.0,316.0,0.08346094946401225,1382.0,112.0,334.0,0.08104196816208394
01088,高木登,2999,285,803,560315,0.09503167722574192,0.2677559186395465,1284.0,96.0,320.0,0.07476635514018691,1715.0,189.0,483.0,0.11020408163265306
01089,武市康男,3323,149,534,278580,0.04483900090279867,0.16069816430935902,1590.0,75.0,276.0,0.04716981132075472,1733.0,74.0,258.0,0.04270051933064051
01090,天間昭一,2566,56,226,125711,0.021823850350740453,0.08807482462977397,1332.0,26.0,105.0,0.01951951951951952,1234.0,30.0,121.0,0.024311183144246355
01091,羽月友彦,2660,133,432,246445,0.05,0.162406015037594,757.0,30.0,105.0,0.03963011889035667,1903.0,103.0,327.0,0.054125065685759324
01092,松永幹夫,3251,366,990,769097,0.11258074438634266,0.30452168563518917,1857.0,197.0,548.0,0.10608508346795907,1394.0,169.0,442.0,0.1212338593974175
01093,松永康利,2335,68,282,123649,0.029122055674518203,0.12077087794432548,1043.0,25.0,103.0,0.023969319271332695,1292.0,43.0,179.0,0.033281733746130034
01094,水野貴広,3154,135,516,261621,0.04280279010779962,0.1636017755231452,1353.0,50.0,202.0,0.03695491500369549,1801.0,85.0,314.0,0.04719600222098834
01095,荒川義之,3205,164,620,353561,0.05117004680187207,0.1934477379095164,1381.0,56.0,253.0,0.04055032585083273,1824.0,108.0,367.0,0.05921052631578947
01096,粕谷昌央,2523,61,257,121493,0.024177566389219182,0.10186286167261197,1235.0,30.0,129.0,0.024291497975708502,1288.0,31.0,128.0,0.02406832298136646
01097,鹿戸雄一,3268,326,910,694867,0.09975520195838433,0.2784577723378213,2473.0,262.0,714.0,0.10594419733117671,795.0,64.0,196.0,0.08050314465408805
01098,野中賢二,2422,246,658,466516,0.10156895127993394,0.27167630057803466,921.0,60.0,196.0,0.06514657980456026,1501.0,186.0,462.0,0.12391738840772819
01099,本田優,3728,272,783,502266,0.07296137339055794,0.21003218884120173,1879.0,127.0,377.0,0.06758914316125599,1849.0,145.0,406.0,0.07842076798269335
01100,松山将樹,2408,83,317,136761,0.03446843853820598,0.13164451827242524,1029.0,32.0,128.0,0.031098153547133137,1379.0,51.0,189.0,0.03698332124728064
01101,吉田直弘,2786,185,575,347101,0.06640344580043073,0.20638908829863603,1069.0,57.0,189.0,0.05332086061739944,1717.0,128.0,386.0,0.07454863133372161
01102,大竹正博,2668,263,675,519133,0.09857571214392803,0.2529985007496252,1736.0,193.0,465.0,0.11117511520737328,932.0,70.0,210.0,0.07510729613733906
01103,尾関知人,2985,258,697,546359,0.0864321608040201,0.23350083752093803,1799.0,174.0,450.0,0.09672040022234575,1186.0,84.0,247.0,0.07082630691399663
01104,笹田和秀,2335,156,492,357330,0.06680942184154176,0.2107066381156317,1281.0,98.0,295.0,0.07650273224043716,1054.0,58.0,197.0,0.05502846299810247
01105,須貝尚介,3639,419,1207,1019321,0.11514152239626271,0.3316845287166804,2520.0,301.0,847.0,0.11944444444444445,1119.0,118.0,360.0,0.10545129579982127
01106,牧光二,3528,234,787,395554,0.0663265306122449,0.22307256235827663,1449.0,85.0,313.0,0.05866114561766736,2079.0,149.0,474.0,0.07166907166907167
01107,村山明,2744,161,497,344417,0.058673469387755105,0.18112244897959184,869.0,31.0,104.0,0.03567318757192175,1875.0,130.0,393.0,0.06933333333333333
01108,矢野英一,2750,181,605,301317,0.06581818181818182,0.22,1064.0,66.0,224.0,0.06203007518796992,1686.0,115.0,381.0,0.06820877817319099
01109,伊藤大士,3109,148,550,303197,0.047603731103248635,0.17690575747828885,1788.0,93.0,342.0,0.05201342281879195,1321.0,55.0,208.0,0.041635124905374715
01110,清水久詞,4407,371,1112,914301,0.08418425232584524,0.2523258452461992,2968.0,260.0,774.0,0.0876010781671159,1439.0,111.0,338.0,0.07713690062543432
01111,鈴木孝志,2977,230,743,404320,0.07725898555592879,0.24958011420893517,1365.0,91.0,310.0,0.06666666666666667,1612.0,139.0,433.0,0.08622828784119106
01112,田島俊明,2907,154,502,266004,0.052975576195390436,0.17268661850705194,978.0,46.0,144.0,0.04703476482617587,1929.0,108.0,358.0,0.05598755832037325
01113,牧浦充徳,2805,232,655,407759,0.08270944741532976,0.23351158645276293,1192.0,95.0,258.0,0.0796979865771812,1613.0,137.0,397.0,0.08493490390576565
01114,和田正一,2389,176,489,385935,0.07367099204688154,0.204688154039347,1429.0,114.0,313.0,0.07977606717984605,960.0,62.0,176.0,0.06458333333333334
01115,菊沢隆徳,2702,225,651,493794,0.08327165062916358,0.24093264248704663,1486.0,123.0,377.0,0.08277254374158816,1216.0,102.0,274.0,0.08388157894736842
