race_id,horse_id,video_gait_coverage,video_gait_aspect_mean,video_gait_aspect_std,video_gait_aspect_range,video_gait_area_mean,video_gait_area_std,video_gait_w_mean,video_gait_h_mean,video_gait_conf_mean,video_gait_conf_std,video_gait_conf_min,video_gait_motion_dcx_mean,video_gait_motion_dcy_mean,video_gait_motion_speed_mean,video_gait_motion_speed_std,video_gait_motion_speed_max,video_gait_area_change_mean,video_gait_aspect_change_mean,video_body_coat_brightness_mean,video_body_coat_brightness_std,video_body_coat_saturation_mean,video_body_coat_saturation_std,video_body_coat_contrast_mean,video_body_coat_contrast_std,video_body_body_aspect_mean,video_body_body_aspect_std,video_body_body_compactness_mean,video_body_body_compactness_std,video_body_color_r_mean,video_body_color_g_mean,video_body_color_b_mean,video_body_condition_score_mean,video_body_condition_score_std
202605020507,2022105197,1.0,1.416,0.08,0.509,168304.3,13143.6,487.9,344.6,0.859,0.057,0.469,0.42,-0.11,10.61,17.37,90.0,5110.4,0.041,0.4376,0.04,0.061,0.0091,0.2166,0.0248,1.418,0.0805,0.3247,0.0253,0.4428,0.4535,0.4165,0.7005,0.0418
202605020507,2022106199,1.0,1.59,0.076,0.347,153051.3,16665.1,492.9,309.8,0.851,0.055,0.585,0.42,-0.0,6.02,10.12,37.2,3728.6,0.029,0.4643,0.0181,0.0773,0.0026,0.2446,0.0037,1.5888,0.0765,0.2951,0.0322,0.4757,0.4776,0.4397,0.7582,0.0161
202605020508,2021105585,1.0,1.445,0.05,0.324,185679.3,13620.6,517.4,358.5,0.858,0.023,0.823,0.88,-0.31,8.28,14.94,53.6,2108.9,0.022,0.3565,0.0082,0.083,0.0018,0.2089,0.0047,1.4451,0.0494,0.3584,0.0264,0.3806,0.369,0.3199,0.6499,0.0094
202605020508,2022103308,1.0,1.619,0.073,0.451,174683.3,7890.9,531.5,328.6,0.53,0.199,0.389,1.06,0.7,9.58,15.87,61.2,3957.2,0.043,0.2979,0.0176,0.0586,0.0061,0.2084,0.0091,1.6217,0.0732,0.3368,0.0151,0.3137,0.3091,0.271,0.5963,0.0232
202605020508,2022104979,1.0,1.437,0.22,1.005,156307.8,16410.2,473.3,331.1,0.842,0.115,0.4,0.48,-0.42,18.41,24.98,89.8,10267.2,0.119,0.4485,0.0322,0.0638,0.0072,0.2173,0.0104,1.4359,0.22,0.3018,0.0315,0.4579,0.467,0.4204,0.7132,0.0294
202605020509,2020105305,1.0,1.282,0.155,1.097,158724.1,11709.5,450.2,353.1,0.822,0.095,0.479,-0.31,-0.5,11.95,20.79,91.2,4983.0,0.068,0.4741,0.0552,0.0937,0.0078,0.2114,0.0156,1.2825,0.1547,0.3058,0.0225,0.5021,0.4903,0.4299,0.735,0.0538
202605020509,2021110030,1.0,1.643,0.105,0.633,192330.3,13442.4,561.8,342.3,0.616,0.137,0.281,0.08,0.04,13.31,19.25,70.2,6924.8,0.051,0.3751,0.0122,0.0752,0.005,0.199,0.0056,1.6423,0.1051,0.371,0.0259,0.3886,0.3898,0.3469,0.6492,0.0154
202605020509,2022104596,1.0,1.754,0.037,0.21,180567.6,5345.2,562.7,320.9,0.793,0.04,0.644,1.17,-0.1,7.85,14.37,54.7,2366.2,0.021,0.2806,0.0143,0.0571,0.0085,0.2013,0.0043,1.7509,0.0358,0.3489,0.0101,0.2926,0.2939,0.2553,0.5763,0.0127
202605020510,2023101269,1.0,1.58,0.117,0.55,176537.6,11329.7,528.0,334.5,0.838,0.058,0.521,0.6,0.16,7.95,13.51,49.8,4234.8,0.038,0.4005,0.0414,0.0806,0.0076,0.2294,0.0175,1.5799,0.1168,0.3409,0.022,0.4182,0.4158,0.3672,0.7001,0.0498
202605020510,2023102583,1.0,1.456,0.267,1.223,175942.9,34168.2,505.9,347.4,0.768,0.127,0.22,0.67,-0.14,26.38,45.64,169.2,17752.5,0.149,0.4539,0.05,0.0628,0.0074,0.2339,0.0305,1.4529,0.2684,0.3396,0.0659,0.458,0.4652,0.4385,0.733,0.0676
202605020510,2023106821,1.0,1.601,0.066,0.463,181189.3,10305.2,538.2,336.5,0.837,0.072,0.357,0.82,0.29,9.39,17.6,88.6,3191.8,0.04,0.4223,0.011,0.0739,0.0057,0.2157,0.0037,1.6017,0.0654,0.3492,0.0197,0.4272,0.4345,0.4052,0.6984,0.0108
202605020511,2021105557,0.986,1.501,0.092,0.653,191405.4,7901.8,535.8,357.3,0.862,0.095,0.329,0.76,0.28,6.42,13.31,61.1,3028.5,0.026,0.3489,0.0077,0.0615,0.0026,0.1974,0.0047,1.5,0.0927,0.3702,0.015,0.3561,0.3639,0.3267,0.6223,0.0075
202605020511,2022104094,1.0,1.484,0.095,0.687,162893.3,12388.0,491.5,331.3,0.832,0.087,0.534,-0.44,-0.48,8.82,21.68,141.8,5794.9,0.049,0.3303,0.025,0.0585,0.0078,0.1933,0.0207,1.4837,0.0948,0.3136,0.0238,0.3396,0.3431,0.3082,0.6038,0.034
202605020511,2022104813,1.0,1.349,0.165,0.672,163570.1,14728.8,469.5,348.9,0.822,0.093,0.29,0.92,0.2,7.8,14.38,58.3,3009.4,0.039,0.3038,0.0087,0.0578,0.0041,0.1807,0.0055,1.347,0.1663,0.3154,0.0285,0.317,0.317,0.2775,0.5722,0.012
