race_id,umaban,horse_name,finish_order,time_index,master_index,start_index,chase_index,agari_index
202501010209,4,ソアラ,6,81,74,90,85,90
202501010209,6,セイウンビッグバン,7,79,79,94,90,88
202501010209,9,ヴァイタルピース,8,75,73,83,81,91
202501010210,2,ラタフォレスト,1,109,109,95,92,111
202501010210,3,ドバイブルース,2,104,104,94,90,107
202501010210,4,セクシーブーケ,3,101,101,92,89,105
202501010210,5,タンゴバイラリン,4,101,101,89,89,108
202501010210,8,マッシャーブルム,5,100,100,95,94,101
202501010210,7,グラウンドビート,6,95,95,81,86,103
202501010210,1,アスクビックスター,7,92,92,90,85,101
202501010210,6,トップオブジェラス,8,90,90,84,85,99
202501010211,3,スティンガーグラス,1,96,96,92,78,107
202501010211,6,フルール,2,94,94,93,80,105
202501010211,2,マイネルカンパーナ,3,93,93,95,79,104
202501010211,10,ミステリーウェイ,4,92,92,98,82,101
202501010211,5,シュバルツクーゲル,5,90,90,93,78,101
202501010211,9,マキシ,6,91,91,95,82,100
202501010211,7,パトリックハンサム,7,89,89,96,80,100
202501010211,4,ヴェルミセル,8,89,89,89,77,99
202501010211,8,エゾダイモン,9,87,87,90,76,101
202501010211,1,アドマイヤサジー,10,83,83,87,75,100
202501010212,2,エリーズダイヤ,1,94,94,92,94,96
202501010212,5,ビーナスローズ,2,92,92,93,97,91
202501010212,3,マイネルフォルツァ,3,89,89,84,84,101
202501010212,1,ステラバルセロナ,4,89,89,88,89,97
202501010212,6,ヨウシタンレイ,5,89,89,92,93,94
202501010212,4,ルージュイストリア,6,86,86,88,87,94
202501010212,7,オルフェスト,7,85,85,87,85,97
202501010212,8,ヒロノゴウカイ,8,80,80,86,83,94
202501010301,4,ジャストビート,1,62,62,92,75,94
202501010301,5,ヴィラジョヴィス,2,61,61,94,78,90
202501010301,3,アイムスティルミー,3,57,57,87,74,88
202501010301,8,チェンドル,4,55,49,95,75,81
202501010301,7,ブルームオブピース,5,53,53,94,77,84
202501010301,2,ラシッド,6,52,52,88,73,86
202501010301,6,シャインヴィーラ,7,52,50,88,72,86
202501010301,1,ソルプレーザ,8,49,43,84,66,84
202501010302,11,マカニ,1,85,79,96,94,82
202501010302,10,ステラノヴァ,2,84,84,95,90,89
202501010302,8,カービスベイ,3,82,82,95,91,87
202501010302,2,ブラックエンパイア,4,77,77,88,83,89
202501010302,3,フルグライト,5,65,65,78,71,87
202501010302,12,アンノドミニ,6,63,56,83,72,74
202501010302,5,ローレルゼロ,7,61,55,78,63,77
202501010302,7,オンサイト,8,60,60,74,62,86
202501010302,4,ハナヒラク,9,51,45,66,51,79
202501010302,1,インユアアイズ,10,44,44,61,45,84
202501010302,9,デルタニュートラル,11,41,34,83,65,51
202501010302,6,メイショウルーチェ,12,38,35,68,47,67
202501010303,2,ラルフテソーロ,1,75,75,100,86,97
202501010303,11,トリプレーテ,2,76,70,81,74,98
202501010303,6,ハルフロンティア,3,69,69,94,81,97
202501010303,8,ミスターボビー,4,67,67,97,83,91
202501010303,9,シャドーストライク,5,64,58,94,78,87
202501010303,5,ジーティーララバイ,6,63,63,96,82,88
202501010303,14,リバティフレイム,7,62,62,93,79,89
202501010303,3,マイネルアース,8,59,52,87,71,89
202501010303,13,サーフギャラクシー,9,52,52,84,73,83
202501010303,1,グラツィオーソ,10,52,52,88,77,84
202501010303,12,アックアヴィリーレ,11,52,46,90,75,80
202501010303,7,アーロッタレット,12,50,44,80,66,82
202501010303,4,ビザンティーノ,13,41,41,90,77,70
202501010303,10,マンボルンバ,14,24,24,99,85,47
202501010304,14,ロパシック,1,92,92,99,100,93
202501010304,3,ストレートブラック,2,90,90,96,97,95
202501010304,8,アロマフェリス,3,89,89,97,99,92
202501010304,10,フェアリーグレン,4,88,86,92,94,93
202501010304,1,グランセゾン,5,87,87,89,88,95
202501010304,7,エコログロス,6,86,86,93,94,94
202501010304,15,シカレ,7,84,78,96,94,87
202501010304,5,ヴァンガルダ,8,81,81,98,99,86
202501010304,13,マサノイロハ,9,78,78,91,90,86
202501010304,9,ホウオウアーネスト,10,77,77,95,95,83
202501010304,12,ゴートゥーミジョカ,11,75,69,92,90,81
202501010304,6,カリータフェリス,12,76,70,84,86,83
202501010304,2,バントック,13,71,71,100,102,74
202501010304,16,バトラーズワーフ,14,70,70,102,106,70
202501010304,4,アインホルン,15,65,59,99,98,67
202501010304,11,トリフォラート,16,62,62,101,104,64
202501010305,7,ポペット,1,72,65,86,66,106
202501010305,5,レッドスティンガー,2,66,66,95,77,98
202501010305,6,サンダーバード,3,65,65,89,71,100
202501010305,3,ハヤテノオジョー,4,65,65,91,73,99
202501010305,10,サンエンジェルス,5,62,62,89,71,99
202501010305,1,オーシャンステラ,6,61,61,85,68,101
202501010305,9,ビョウブガウラ,7,61,61,85,69,100
202501010305,8,ウチュウノセカイ,8,59,59,91,75,91
202501010305,4,ブラックジャック,9,55,55,87,69,92
202501010305,2,リピース,10,54,47,73,55,95
202501010305,11,ブルーメンフェスト,11,26,26,90,74,60
202501010306,3,サウンドモリアーナ,1,94,94,91,86,103
202501010306,2,ミニョンマルーン,2,89,83,101,93,81
202501010306,6,ミルフルール,3,77,77,89,79,88
202501010306,1,アースミューズ,4,76,76,96,89,80
202501010306,7,サンピアノソナタ,5,68,62,69,60,92
202501010306,4,シエラメンテ,6,67,60,81,73,79
202501010306,5,ジーティースピカ,7,64,57,72,63,85
202501010307,7,ハートメテオ,1,94,94,92,95,100
202501010307,10,シンゼンカガ,2,94,94,88,94,101
202501010307,6,ハニードレス,3,91,91,93,96,96
202501010307,3,ツーエムクロノス,4,88,86,94,97,90
202501010307,5,モアリジット,5,87,81,89,90,91
202501010307,1,シアブリス,6,79,79,92,95,85
202501010307,2,コンフォルツァ,7,80,80,85,83,97
202501010307,8,ブラックバラード,8,79,79,84,90,90
202501010307,4,スピンザブラッド,9,80,80,78,78,101
202501010307,9,スペシャルバニー,10,75,75,76,79,93
202501010308,8,リアライズカミオン,1,90,90,98,96,93
202501010308,3,タマモジャスミン,2,84,78,99,96,84
202501010308,10,ララエキリーブル,3,83,83,94,93,89
202501010308,7,ニシノブレイゼスト,4,82,82,91,92,88
202501010308,6,シーリュウシー,5,80,80,81,82,95
202501010308,11,ハイケンス,6,76,76,100,99,78
202501010308,5,スパークインザアイ,7,74,74,89,89,83
202501010308,9,ファイヤーウィップ,8,74,72,91,91,81
202501010308,4,スノーホルンロード,9,72,66,93,89,77
202501010308,1,グレイスフルマーチ,10,72,72,96,97,75
202501010308,2,ピリカサンライズ,11,69,63,85,88,72
202501010309,9,ルシード,1,98,98,103,103,95
202501010309,6,パッシングシャワー,2,88,82,97,95,87
202501010309,2,クインズスピカ,3,85,79,97,95,84
202501010309,3,マジカルシャイン,4,85,85,97,97,88
202501010309,4,テイクイットオール,5,82,76,90,90,86
202501010309,1,テリオスルル,6,81,81,89,89,92
202501010309,8,スピニングマーリン,7,78,78,97,97,81
202501010309,5,アルマロクザン,8,78,78,93,93,85
202501010309,10,ジャスパーディビネ,9,75,69,102,99,70
202501010309,7,ドランクマン,10,70,70,100,99,71
202501010310,13,リラボニート,1,91,91,87,88,98
202501010310,14,ロードマンハイム,2,91,91,85,86,100
202501010310,5,ルクスジニア,3,91,91,98,98,92
202501010310,8,ピンクジン,4,87,87,90,91,92
202501010310,9,ジェットマグナム,5,87,87,88,86,98
202501010310,4,ウォータークラーク,6,85,85,96,95,89
202501010310,2,サクソンジェンヌ,7,84,84,89,89,92
202501010310,7,アラタマフェーヴル,8,83,83,87,88,92
202501010310,6,マイネルバーテクス,9,80,80,91,91,86
202501010310,1,ウインルピナス,10,79,79,93,93,85
202501010310,12,ビジューブリランテ,11,79,79,92,93,85
202501010310,11,マルカオペラ,12,78,78,90,96,81
202501010310,3,レッセパッセ,13,79,79,87,89,88
202501010310,10,シャイニースイフト,14,72,72,94,95,76
202501010311,13,エープラス,1,87,83,92,84,100
202501010311,4,ハニーコム,2,86,80,93,84,99
202501010311,12,テーオーダグラス,3,86,84,90,80,103
202501010311,10,ラーンザロープス,4,85,81,88,80,103
202501010311,8,ナムラフッカー,5,85,81,87,79,103
202501010311,11,アマイ,6,85,83,96,89,96
202501010311,5,ソリダリティ,7,85,81,90,82,101
202501010311,2,エラトー,8,85,83,94,87,98
202501010311,16,フェミナフォルテ,8,85,77,85,75,103
202501010311,3,ガジュノリ,10,84,82,91,84,99
202501010311,14,フェステスバント,11,82,78,95,87,94
202501010311,1,サトノクローク,12,82,78,91,83,96
202501010311,7,テリオスララ,13,80,80,93,86,95
202501010311,15,クレバーテースト,14,77,71,93,84,89
202501010311,9,アスクオンディープ,15,77,69,90,80,91
202501010311,6,ショーモン,16,65,55,84,75,82
202501010312,11,スマートケープ,1,98,98,96,90,106
202501010312,4,オールマキシマム,2,86,86,80,81,102
202501010312,1,ベルギューン,3,86,86,99,90,93
202501010312,10,サツキノジョウ,4,86,86,91,85,98
202501010312,12,ヤマニンバロネス,5,85,85,94,86,97
202501010312,5,メイショウリリー,6,84,84,82,76,106
202501010312,7,カプラローラ,7,84,84,85,80,103
202501010312,2,グレイスオブゴッド,8,81,81,90,82,97
202501010312,14,クォーツァイト,9,79,79,96,89,88
202501010312,6,リアルクィーン,10,79,79,95,86,89
202501010312,9,メイショウタムシバ,11,78,78,95,88,88
202501010312,8,マフィン,12,75,75,94,85,89
202501010312,3,アンブロジアーナ,13,66,66,96,84,81
202501010312,13,ミレニアムヒロイン,14,60,60,91,84,76
202501010401,8,アンティミスト,1,63,63,102,93,60
202501010401,11,シュピラー,2,59,59,102,91,57
202501010401,6,ワイドアルバ,3,59,59,84,75,75
202501010401,4,スノーランス,4,54,48,91,79,57
202501010401,12,オアシスアラン,5,49,47,100,88,47
202501010401,2,クラン,6,50,50,82,70,68
202501010401,3,ライフイズ,7,49,42,91,79,52
202501010401,10,プレザントトーン,8,50,43,76,62,68
202501010401,7,ハチハチローズ,9,48,42,81,69,61
202501010401,5,ニシノオールワン,10,47,47,102,95,45
202501010401,9,ヴィヒタ,11,45,38,74,62,64
202501010401,1,ドナソレイ,12,20,14,91,72,23
202501010402,13,レディゴディヴァ,1,83,83,101,97,91
202501010402,3,カスバートテソーロ,2,80,80,92,89,90
202501010402,2,ハッピールンナ,3,72,72,91,84,89
202501010402,11,メイショウナナコ,4,69,69,98,92,81
202501010402,1,シンシーネ,5,69,63,97,91,77
202501010402,8,ハイゼンスレイ,6,68,68,91,88,81
202501010402,14,ルージュラティーナ,7,63,63,101,95,72
202501010402,9,ホウオウハナビ,8,61,61,93,90,75
202501010402,4,ハプスブルグ,9,58,52,94,83,72
202501010402,6,スワローサプライズ,10,57,51,93,77,77
202501010402,12,アニラ,11,55,51,95,87,69
202501010402,10,ヤマニンパルフェ,12,55,55,93,87,70
202501010402,5,エニグマティーク,13,37,31,97,91,46
202501010402,7,ブルームワルツ,14,35,29,95,85,47
202501010403,16,パーフェクトパール,1,75,75,92,75,98
202501010403,1,ヒルノレーダン,2,73,73,89,71,100
202501010403,4,シャインフリーリー,3,72,72,87,69,102
202501010403,2,クランドゥイユ,4,72,72,90,73,98
202501010403,9,ハクサンミラクル,5,71,71,93,76,93
202501010403,14,ノボリユーミン,6,66,60,87,70,91
202501010403,12,マルテアヴニール,7,64,58,86,67,92
202501010403,7,オラリオン,8,64,58,83,64,95
202501010403,13,アルハイルフォート,9,63,63,90,73,90
202501010403,11,ナリノボガート,10,62,62,85,69,94
202501010403,5,ルージュレアリーズ,11,61,59,87,69,92
202501010403,3,カラーズリング,12,60,54,89,71,87
202501010403,6,マリエンプラッツ,13,59,59,91,74,83
202501010403,10,ハルノート,14,54,50,83,67,85
202501010403,8,ミルキーハニー,15,54,48,81,67,75
202501010403,15,イモータリティ,16,48,48,85,72,76
202501010404,8,ザハント,1,79,79,100,100,79
202501010404,12,ドバイミッション,2,74,74,88,96,75
202501010404,7,エンジョイドライブ,3,73,73,95,96,76
202501010404,14,エポカリーナ,4,71,65,94,92,74
202501010404,1,スフレ,5,68,68,90,89,80
202501010404,4,ジーティーファラオ,6,67,67,84,92,71
202501010404,10,オドラニャソンソン,7,65,58,91,90,68
202501010404,5,エンドレスバンカー,8,64,62,80,85,78
202501010404,13,スピードイエロー,9,57,53,86,91,62
202501010404,9,アトラクトラン,10,41,35,95,90,50
202501010404,3,マナミン,11,36,30,96,91,46
202501010404,6,ダイハッシュウ,12,34,28,99,97,35
202501010404,11,マーゴットビースト,13,33,33,94,93,46
202501010404,2,ハーイバービー,14,28,21,92,86,44
202501010405,4,クレパスキュラー,1,92,92,91,98,95
202501010405,8,ストロベリーツリー,2,84,84,87,91,93
202501010405,6,グロリアスマーチ,3,77,77,92,92,86
202501010405,2,トゥレネヴェリテ,4,72,72,77,75,97
202501010405,1,ジェネチェン,5,71,71,80,81,93
202501010405,7,シャルムグリーン,6,60,60,92,95,66
202501010405,3,レッドファイブ,7,26,24,75,75,51
202501010406,13,ウインイザナミ,1,91,91,99,104,86
202501010406,8,アルシャンティ,2,91,84,101,104,80
202501010406,5,キュイジニエール,3,89,89,93,98,91
202501010406,7,フリアフロリダ,4,83,74,95,97,77
202501010406,3,リラゲイル,5,83,83,96,101,84
202501010406,9,ショウナンタハティ,6,78,78,96,101,74
202501010406,14,ウフルピーク,7,77,77,94,101,74
202501010406,11,ナッシングベター,8,77,77,91,95,81
202501010406,1,マンゲタック,9,76,76,106,111,66
202501010406,10,スルースウェイ,10,66,66,102,102,66
202501010406,12,オニムシャ,11,65,58,98,102,57
202501010406,6,トーセンアーロン,12,56,56,100,101,55
202501010406,2,ルルファーレ,13,48,41,85,84,55
202501010406,4,シャンパングラス,14,39,39,99,105,33
202501010407,6,カペルブリュッケ,1,91,91,91,97,93
202501010407,3,ローズマイスター,2,90,84,83,88,95
202501010407,12,アイオリア,3,85,85,81,85,97
202501010407,5,リーゼノアール,4,83,83,94,96,86
202501010407,1,マーベリックシチー,5,79,79,95,101,79
202501010407,4,マクミランテソーロ,6,76,76,99,102,76
202501010407,10,グランレザンドール,7,69,63,96,97,67
