race_id,num_horses,umaren_count,umaren_min,umaren_max,umaren_median,umaren_p10
202006010810,11,55,12.0,930.6,138.8,27.8
202006010811,16,120,13.9,9999.8,346.2,61.1
202006010812,16,120,26.6,5964.9,222.2,69.5
202008010801,10,45,5.3,1210.4,210.4,19.9
202008010802,14,91,8.6,3308.9,381.3,53.2
202008010803,11,55,12.1,566.2,141.6,40.5
202008010804,14,91,7.8,1414.5,306.5,57.4
202008010805,11,55,8.8,2799.9,193.0,27.8
202008010806,16,120,11.1,8025.7,391.3,74.0
202008010807,11,55,8.1,1228.4,178.5,27.0
202008010808,11,55,10.3,937.8,151.4,32.9
202008010809,10,45,8.0,945.5,156.8,21.1
202008010810,9,36,7.9,1054.1,114.6,26.7
202008010811,16,120,12.6,3728.4,334.8,73.5
202008010812,9,36,7.1,1456.4,117.9,21.1
202010010301,14,91,9.1,1755.5,250.0,46.3
202010010302,11,55,10.8,728.9,138.6,30.1
202010010303,17,136,12.6,5852.0,440.3,74.0
202010010304,13,78,8.6,1585.5,305.6,54.6
202010010305,9,36,7.4,543.9,89.7,27.0
202010010306,12,66,15.5,1192.5,170.9,36.1
202010010307,16,120,17.2,2108.4,315.7,74.4
202010010308,10,45,10.0,812.9,90.6,23.3
202010010309,8,28,13.6,160.9,46.1,19.7
202010010310,10,45,10.7,1591.6,110.8,25.7
202010010311,16,120,19.4,4372.0,289.7,79.3
202010010312,13,78,16.3,1630.5,172.2,41.6
202006010901,16,120,11.0,4632.7,399.6,77.9
202006010902,12,66,16.5,4640.1,207.0,31.8
202006010903,16,120,9.9,9999.8,703.5,65.6
202006010904,14,91,11.9,3729.9,275.3,49.4
202006010905,16,120,17.6,9999.8,615.2,52.6
202006010906,16,120,13.1,9999.8,523.3,63.7
202006010907,16,120,19.9,5318.6,319.4,59.4
202006010908,15,105,11.7,9999.8,293.1,57.4
202006010909,11,55,14.8,2837.4,141.6,28.7
202006010910,12,66,6.9,2424.1,232.1,36.8
202006010911,12,66,13.2,1048.4,182.1,35.3
202006010912,6,15,6.5,127.5,35.9,6.5
202008010901,9,36,6.5,941.0,110.2,20.1
202008010902,11,55,7.7,1656.3,190.9,27.7
202008010903,11,55,6.5,1438.7,172.5,27.7
202008010904,15,105,15.8,3903.0,323.6,68.9
202008010905,10,45,7.4,1241.1,162.6,22.9
202008010906,16,120,17.7,6095.1,465.3,62.0
202008010907,9,36,6.3,663.7,98.4,17.3
202008010908,5,10,4.9,123.3,26.9,6.5
202008010909,16,120,18.3,3968.5,298.5,70.2
202008010910,6,15,7.4,159.9,21.3,8.6
202008010911,16,120,12.3,3302.6,406.5,71.1
202008010912,13,78,12.4,2694.2,178.9,42.9
202010010401,16,120,13.4,3160.3,359.8,83.5
202010010402,14,91,15.3,2103.3,209.5,59.5
202010010403,16,120,18.5,4783.3,275.6,72.1
202010010404,10,45,7.9,654.4,128.6,30.9
202010010405,18,153,17.0,9999.8,437.4,79.5
202010010406,11,55,26.0,468.3,91.7,33.5
202010010407,10,45,12.5,631.5,105.9,23.3
202010010408,16,120,9.7,2776.8,428.0,74.1
202010010409,12,66,10.0,823.6,180.8,45.9
202010010410,16,120,18.6,6238.4,264.7,70.0
202010010411,16,120,14.1,1421.9,343.6,76.7
202010010412,17,136,13.3,7061.4,488.8,80.8
202005010101,15,105,14.5,9999.8,333.2,52.0
202005010102,16,120,7.8,9999.8,613.5,79.0
202005010103,16,120,18.7,9999.8,427.2,61.7
202005010104,11,55,6.6,1632.6,165.2,28.8
202005010105,16,120,11.4,9999.8,537.6,73.1
202005010106,12,66,8.6,1833.8,293.1,39.8
202005010107,16,120,13.6,9999.8,533.9,83.2
202005010108,16,120,11.0,5395.0,519.0,64.2
202005010109,16,120,33.5,5570.0,271.3,54.4
202005010110,10,45,8.0,1929.3,132.3,25.2
202005010111,14,91,15.1,2465.9,254.5,54.1
202005010112,15,105,8.7,7970.9,393.2,57.6
202008020101,10,45,7.1,1304.8,137.1,24.6
202008020102,16,120,10.8,7890.6,522.9,69.5
202008020103,15,105,8.8,6381.8,479.9,58.0
202008020104,11,55,6.1,1529.6,228.0,23.0
202008020105,12,66,12.7,2210.0,212.4,38.5
202008020106,13,78,21.2,1868.7,223.5,37.7
202008020107,12,66,10.1,1104.6,182.0,34.5
202008020108,14,91,10.3,2024.7,307.6,46.3
202008020109,10,45,9.1,423.7,101.3,26.5
202008020110,12,66,8.5,1692.7,161.2,31.9
202008020111,14,91,9.8,2055.6,293.4,58.7
202008020112,11,55,15.3,718.3,106.0,31.7
202010010501,14,91,15.0,2058.7,232.8,47.5
202010010502,16,120,11.2,5444.3,454.9,78.6
202010010503,14,91,13.5,3121.7,281.0,48.4
202010010504,18,153,12.1,8871.6,562.7,77.3
202010010505,9,36,10.3,299.7,79.4,17.3
202010010506,14,91,16.7,1207.9,200.7,47.5
202010010507,9,36,11.0,428.7,84.7,20.9
202010010508,12,66,11.6,1164.0,185.4,40.3
202010010509,8,28,8.9,527.6,68.4,17.5
202010010510,8,28,8.7,228.6,62.9,15.6
202010010511,13,78,21.6,1161.9,157.8,50.1
202010010512,12,66,14.9,565.6,158.0,36.8
202005010201,15,105,9.4,3909.2,387.8,61.4
202005010202,16,120,15.4,9006.7,393.6,69.0
202005010203,16,120,11.0,9999.8,543.3,55.5
