horse_id,is_jackpot,jockey_id,jockey_trainer_combo_top3,race_id,umaban
2023103845,0,01140,,202605020602,14
2023100963,0,01096,,202605020602,15
2023110017,0,01163,,202605020602,16
2023107370,0,01043,,202605020603,1
2023107068,0,05585,,202605020603,2
2023106841,0,01170,,202605020603,3
2023105006,0,05674,,202605020603,4
2023100232,0,01122,,202605020603,5
2023102633,0,00660,,202605020603,6
2023100097,0,01200,,202605020603,7
2023100960,0,01075,,202605020603,8
2023106341,0,01174,,202605020603,9
2023105876,0,01085,,202605020603,10
2023102281,0,01154,,202605020603,11
2023110025,0,05386,,202605020603,12
2023100534,0,01178,,202605020603,13
2023102805,0,01092,,202605020603,14
2023100653,0,01162,,202605020603,15
2023103569,0,01077,,202605020603,16
2023102954,0,01197,,202605020603,17
2023106245,0,01096,,202605020603,18
2023103927,0,01180,,202605020604,1
2023101575,0,01154,,202605020604,2
2023106842,0,01092,,202605020604,3
2023107013,0,05339,,202605020604,4
2023102015,0,01178,,202605020604,5
2023104069,0,05674,,202605020604,6
2023107093,0,05585,,202605020604,7
2023102808,0,01174,,202605020604,8
2023107336,0,01197,,202605020604,9
2023103971,0,01122,,202605020604,10
2023102941,0,01009,,202605020604,11
2023101076,0,01171,,202605020604,12
2023101871,0,01207,,202605020604,13
2023105254,0,01184,,202605020604,14
2023106646,0,01180,,202605020605,1
2023103837,0,05386,,202605020605,2
2023102283,0,01009,,202605020605,3
2023103701,0,01077,,202605020605,4
2023101813,0,01170,,202605020605,5
2023106177,0,01140,,202605020605,6
2023102659,0,01178,,202605020605,7
2023101644,0,01096,,202605020605,8
2023106954,0,01174,,202605020605,9
2023100213,0,01126,,202605020605,10
2023106564,0,01156,,202605020605,11
2023103628,0,01092,,202605020605,12
2023100485,0,01179,,202605020605,13
2023103734,0,01200,,202605020605,14
2023100704,0,01154,,202605020605,15
2023106494,0,05339,,202605020605,16
2020104732,0,01213,,202605020606,1
2022101086,0,01154,,202605020606,2
2021101385,0,01219,,202605020606,3
2022100922,0,01162,,202605020606,4
2022106229,0,01126,,202605020606,5
2022107182,0,05585,,202605020606,6
2022101690,0,01043,,202605020606,7
2020103727,0,01096,,202605020606,8
2021101930,0,01207,,202605020606,9
2022104811,0,05386,,202605020606,10
2021105289,0,01092,,202605020606,11
2022105300,0,01092,,202605020607,1
2021106361,0,01077,,202605020607,2
2022100323,0,01181,,202605020607,3
2022110126,0,01126,,202605020607,4
2019102320,0,01207,,202605020607,5
2022104089,0,01162,,202605020607,6
2020104936,0,01180,,202605020607,7
2022100582,0,01122,,202605020607,8
2022100620,0,01140,,202605020607,9
2021104481,0,01184,,202605020607,10
2022101141,0,01085,,202605020607,11
2022104490,0,01179,,202605020607,12
2021104313,0,01174,,202605020607,13
2022101826,0,00733,,202605020607,14
2021103482,0,01197,,202605020607,15
2022106324,0,01178,,202605020607,16
2021103486,0,01092,,202605020608,1
2020102784,0,01197,,202605020608,2
2021105584,0,01179,,202605020608,3
2022101906,0,01085,,202605020608,4
2022110038,0,01174,,202605020608,5
2022110006,0,01163,,202605020608,6
2022105991,0,05339,,202605020608,7
2021105150,0,01077,,202605020608,8
2022110015,0,05585,,202605020608,9
2021103561,0,01140,,202605020608,10
2019104818,0,01126,,202605020608,11
2019104953,0,01162,,202605020609,1
2021110062,0,01043,,202605020609,2
2022101234,0,01163,,202605020609,3
2021100162,0,01140,,202605020609,4
2022106337,0,01077,,202605020609,5
2020105670,0,01154,,202605020609,6
2022102722,0,01115,,202605020609,7
2022102882,0,01180,,202605020609,8
2020102077,0,01096,,202605020609,9
2020102344,0,01200,,202605020610,1
2019105193,0,05339,,202605020610,2
2021105391,0,05585,,202605020610,3
2018101660,0,05674,,202605020610,4
2020106909,0,01115,,202605020610,5
2020103025,0,01180,,202605020610,6
2020100761,0,00733,,202605020610,7
2020105781,0,01085,,202605020610,8
2020105750,0,01170,,202605020610,9
2021110077,0,01171,,202605020610,10
2020106234,0,01163,,202605020610,11
2021106645,0,01213,,202605020610,12
2023106916,0,01197,,202605020611,1
2023110065,0,01154,,202605020611,2
2023107288,0,01092,,202605020611,3
2023107153,0,01171,,202605020611,4
2023107187,0,01200,,202605020611,5
2023104885,0,01178,,202605020611,6
2023105685,0,01088,,202605020611,7
2023107199,0,01126,,202605020611,8
2023107053,0,05339,,202605020611,9
2023103184,0,01140,,202605020611,10
2023105311,0,01163,,202605020611,11
2023103752,0,01174,,202605020611,12
2023100797,0,01122,,202605020611,13
2023107241,0,01102,,202605020611,14
2023103268,0,01184,,202605020611,15
2023105267,0,05386,,202605020611,16
2023107166,0,05585,,202605020611,17
2023103418,0,01170,,202605020611,18
2018104646,0,01162,,202605020612,1
2021100292,0,01200,,202605020612,2
2022105832,0,01088,,202605020612,3
2020102703,0,00733,,202605020612,4
2021104422,0,01181,,202605020612,5
2022110120,0,05339,,202605020612,6
2021104910,0,01102,,202605020612,7
2022105225,0,00660,,202605020612,8
2020102724,0,01122,,202605020612,9
2021102982,0,01154,,202605020612,10
2021102256,0,01171,,202605020612,11
2021105775,0,05386,,202605020612,12
2022102062,0,01163,,202605020612,13
2020106896,0,01009,,202605020612,14
2019102143,0,01178,,202605020612,15
