horse_career_n_races,horse_career_top3,horse_id,horse_last_agari,horse_last_class,horse_last_distance,horse_last_finish,horse_last_jockey,horse_last_pass1,horse_last_pass4,horse_last_surface,horse_last_trainer,horse_recent5_top3,horse_recent5_win,is_jackpot,jockey_id,jockey_recent30_n,jockey_recent30_top3,jockey_recent30_win,jockey_trainer_combo_top3,race_id,trainer_recent30_top3,trainer_recent30_win,umaban
9,0.4444444444444444,2022103345,34.2,43,1600,2,666,0.0,7.0,芝,1140,0.6,0.2,0,00732,30,0.16666666666666666,0.0,0.3165829145728643,202608030509,0.3,0.03333333333333333,7
6,0.16666666666666666,2022102153,34.1,23,1200,6,1209,0.0,11.0,芝,1143,0.2,0.0,0,01144,30,0.06666666666666667,0.0,0.0,202608030509,0.06666666666666667,0.03333333333333333,8
33,0.15151515151515152,2018104841,35.1,43,1400,11,1109,0.0,8.0,芝,1187,0.2,0.0,0,01112,30,0.13333333333333333,0.03333333333333333,0.16666666666666666,202608030509,0.1,0.06666666666666667,9
17,0.35294117647058826,2021103665,34.9,43,1600,12,1032,0.0,3.0,芝,1149,0.6,0.2,0,01032,30,0.23333333333333334,0.1,0.35802469135802467,202608030509,0.26666666666666666,0.03333333333333333,10
22,0.36363636363636365,2021104978,34.4,43,1600,4,1092,0.0,7.0,芝,1138,0.2,0.2,0,01102,30,0.2,0.1,0.3333333333333333,202608030509,0.2,0.13333333333333333,11
6,0.3333333333333333,2022104669,37.4,23,2200,8,1102,1.0,1.0,芝,1061,0.4,0.2,0,01163,30,0.3333333333333333,0.13333333333333333,0.5,202608030510,0.3333333333333333,0.13333333333333333,1
6,0.8333333333333334,2022105068,35.2,43,2000,2,1160,3.0,5.0,芝,1071,0.8,0.2,0,01174,30,0.3,0.1,0.40336134453781514,202608030510,0.3333333333333333,0.06666666666666667,2
15,0.5333333333333333,2021105459,34.0,43,1600,5,1171,0.0,2.0,芝,1146,0.6,0.2,1,01171,30,0.3,0.06666666666666667,0.43037974683544306,202608030510,0.23333333333333334,0.1,3
27,0.2962962962962963,2019103816,35.5,43,1800,11,1170,12.0,11.0,芝,1148,0.0,0.0,0,01216,30,0.16666666666666666,0.06666666666666667,0.07142857142857142,202608030510,0.3,0.1,4
5,0.6,2022100330,34.0,23,2000,1,1093,4.0,4.0,芝,1184,0.6,0.4,0,01088,30,0.36666666666666664,0.06666666666666667,0.6666666666666666,202608030510,0.4666666666666667,0.13333333333333333,5
5,0.2,2022104719,34.4,23,2200,5,1126,2.0,3.0,芝,1158,0.2,0.2,0,01126,30,0.36666666666666664,0.2,0.3167701863354037,202608030510,0.13333333333333333,0.03333333333333333,6
9,0.3333333333333333,2021101751,35.9,43,2000,9,1126,2.0,1.0,芝,1154,0.2,0.2,0,01102,30,0.2,0.1,0.19642857142857142,202608030510,0.3,0.13333333333333333,7
12,0.16666666666666666,2022107149,35.6,23,1800,15,1181,0.0,1.0,芝,1178,0.0,0.0,0,01166,30,0.1,0.03333333333333333,0.12849162011173185,202608030510,0.13333333333333333,0.03333333333333333,8
4,0.5,2023105223,34.5,195,2000,4,1144,9.0,10.0,芝,1154,0.5,0.25,0,01144,30,0.06666666666666667,0.0,0.225,202608030511,0.3,0.13333333333333333,1
2,1.0,2023107127,34.3,7,2000,1,5473,0.0,5.0,芝,1061,1.0,0.5,0,01088,30,0.36666666666666664,0.06666666666666667,0.5767634854771784,202608030511,0.3333333333333333,0.13333333333333333,2
2,0.5,2023105021,34.1,7,1600,6,1180,0.0,11.0,芝,1095,0.5,0.0,0,01180,30,0.26666666666666666,0.06666666666666667,0.2811594202898551,202608030511,0.16666666666666666,0.0,3
3,0.3333333333333333,2023101855,36.8,7,2000,14,1197,0.0,3.0,芝,1171,0.3333333333333333,0.0,0,01220,30,0.1,0.03333333333333333,,202608030511,0.13333333333333333,0.0,4
1,1.0,2023106963,35.3,15,2000,1,5473,3.0,4.0,芝,1117,1.0,1.0,0,01171,30,0.3,0.06666666666666667,0.30357142857142855,202608030511,0.36666666666666664,0.2,5
3,1.0,2023107250,34.7,7,1800,1,5386,0.0,5.0,芝,1163,1.0,0.3333333333333333,0,01032,30,0.23333333333333334,0.1,0.38461538461538464,202608030511,0.26666666666666666,0.13333333333333333,6
4,0.75,2023104386,37.7,23,1800,5,1018,2.0,2.0,ダ,1138,0.75,0.25,0,01157,30,0.3333333333333333,0.2,0.24761904761904763,202608030511,0.2,0.13333333333333333,7
4,0.75,2023107278,35.2,195,2000,5,1163,3.0,4.0,芝,1092,0.75,0.5,1,01163,30,0.3333333333333333,0.13333333333333333,0.4339622641509434,202608030511,0.23333333333333334,0.16666666666666666,8
3,0.6666666666666666,2023103899,34.7,7,2000,3,1163,2.0,2.0,芝,1075,0.6666666666666666,0.0,0,01216,30,0.16666666666666666,0.06666666666666667,0.0,202608030511,0.2,0.06666666666666667,9
