race_id,course,race_num,race_name,umaban,horse_name,paddock_idx,padock_mark,weight_diff,horse_weight,training_idx,idm_score,stable_idx,ninki_idx,gekiso_idx,train_eval,train_mark,tansho_odds,tyb_source,kyi_source,cyb_source
202604010312,新潟,12,4歳以上1勝クラス,12,マテンロウミラクル,,,,,13.7,41.8,20.0,138.0,81.0,,0,,,KYI260509.txt,CYB260509.txt
202605020511,東京,11,エプソムC,1,ジュタ,,,,,-1.5,64.1,-6.1,55.0,233.0,,0,,,KYI260509.txt,CYB260509.txt
202605020511,東京,11,エプソムC,2,サブマリーナ,,,,,10.9,65.0,11.2,237.0,254.0,,0,,,KYI260509.txt,CYB260509.txt
202605020511,東京,11,エプソムC,3,エピファニー,,,,,-12.1,57.1,-10.0,12.0,255.0,,0,,,KYI260509.txt,CYB260509.txt
202605020511,東京,11,エプソムC,4,カラマティアノス,,,,,18.1,66.0,19.0,564.0,271.0,,0,,,KYI260509.txt,CYB260509.txt
202605020511,東京,11,エプソムC,5,ジュンブロッサム,,,,,-6.2,64.0,-7.2,79.0,165.0,,0,,,KYI260509.txt,CYB260509.txt
202605020511,東京,11,エプソムC,6,マジックサンズ,,,,,4.4,64.3,-14.6,138.0,222.0,,0,,,KYI260509.txt,CYB260509.txt
202605020511,東京,11,エプソムC,7,オクタヴィアヌス,,,,,-12.1,52.0,-14.6,12.0,200.0,,0,,,KYI260509.txt,CYB260509.txt
202605020511,東京,11,エプソムC,8,シルトホルン,,,,,-10.1,63.0,6.4,31.0,189.0,,0,,,KYI260509.txt,CYB260509.txt
202605020511,東京,11,エプソムC,9,マテンロウレオ,,,,,-0.2,64.9,5.8,27.0,129.0,,0,,,KYI260509.txt,CYB260509.txt
202605020511,東京,11,エプソムC,10,センツブラッド,,,,,-0.5,59.3,-0.9,55.0,279.0,,0,,,KYI260509.txt,CYB260509.txt
202605020511,東京,11,エプソムC,11,トロヴァトーレ,,,,,16.6,70.0,16.2,425.0,199.0,,0,,,KYI260509.txt,CYB260509.txt
202605020511,東京,11,エプソムC,12,マイネルモーント,,,,,-12.1,65.2,3.3,51.0,240.0,,0,,,KYI260509.txt,CYB260509.txt
202605020511,東京,11,エプソムC,13,オニャンコポン,,,,,-12.1,59.0,-15.8,1.0,192.0,,0,,,KYI260509.txt,CYB260509.txt
202605020511,東京,11,エプソムC,14,サクラファレル,,,,,13.5,63.1,23.4,457.0,224.0,,0,,,KYI260509.txt,CYB260509.txt
202605020511,東京,11,エプソムC,15,ストレイトトーカー,,,,,-7.4,64.2,-6.2,11.0,121.0,,0,,,KYI260509.txt,CYB260509.txt
202605020511,東京,11,エプソムC,16,ステレンボッシュ,,,,,-2.4,64.4,6.0,122.0,242.0,,0,,,KYI260509.txt,CYB260509.txt
202605020511,東京,11,エプソムC,17,レガーロデルシエロ,,,,,-2.4,65.1,-10.4,86.0,246.0,,0,,,KYI260509.txt,CYB260509.txt
202605020512,東京,12,4歳以上2勝クラス,1,アクアマリーナ,,,,,12.6,56.1,9.0,214.0,154.0,,0,,,KYI260509.txt,CYB260509.txt
202605020512,東京,12,4歳以上2勝クラス,2,ラヴァブル,,,,,-5.7,48.0,-8.1,36.0,160.0,,0,,,KYI260509.txt,CYB260509.txt
202605020512,東京,12,4歳以上2勝クラス,3,モーニングマジック,,,,,18.3,59.0,20.7,760.0,220.0,,0,,,KYI260509.txt,CYB260509.txt
202605020512,東京,12,4歳以上2勝クラス,4,レディゴディヴァ,,,,,-12.8,47.0,-10.1,7.0,155.0,,0,,,KYI260509.txt,CYB260509.txt
202605020512,東京,12,4歳以上2勝クラス,5,アルジェンタージョ,,,,,1.0,56.0,8.2,110.0,137.0,,0,,,KYI260509.txt,CYB260509.txt
202605020512,東京,12,4歳以上2勝クラス,6,クインズポラリス,,,,,4.3,52.1,3.7,116.0,125.0,,0,,,KYI260509.txt,CYB260509.txt
202605020512,東京,12,4歳以上2勝クラス,7,ヴィンブルレー,,,,,9.9,50.0,17.2,356.0,248.0,,0,,,KYI260509.txt,CYB260509.txt
202605020512,東京,12,4歳以上2勝クラス,8,ホウショウマリス,,,,,15.3,54.0,12.0,332.0,243.0,,0,,,KYI260509.txt,CYB260509.txt
202605020512,東京,12,4歳以上2勝クラス,9,ドナカルナバル,,,,,-11.5,48.0,-11.4,14.0,104.0,,0,,,KYI260509.txt,CYB260509.txt
202605020512,東京,12,4歳以上2勝クラス,10,オーロラアーク,,,,,-11.5,40.0,-15.2,,158.0,,0,,,KYI260509.txt,CYB260509.txt
202605020512,東京,12,4歳以上2勝クラス,11,フィドルファドル,,,,,0.9,50.3,3.7,59.0,216.0,,0,,,KYI260509.txt,CYB260509.txt
202605020512,東京,12,4歳以上2勝クラス,12,ベルブリエ,,,,,-11.5,44.0,-8.8,,178.0,,0,,,KYI260509.txt,CYB260509.txt
202605020512,東京,12,4歳以上2勝クラス,13,オカメノコイ,,,,,-2.3,52.0,10.1,87.0,156.0,,0,,,KYI260509.txt,CYB260509.txt
202605020512,東京,12,4歳以上2勝クラス,14,ワイノナオミ,,,,,-4.7,53.0,-1.4,68.0,161.0,,0,,,KYI260509.txt,CYB260509.txt
202605020512,東京,12,4歳以上2勝クラス,15,ヴァリオーサ,,,,,-8.4,44.0,-7.4,18.0,205.0,,0,,,KYI260509.txt,CYB260509.txt
202605020512,東京,12,4歳以上2勝クラス,16,プチブール,,,,,12.6,55.0,6.0,179.0,222.0,,0,,,KYI260509.txt,CYB260509.txt
