date,race_id,race_num,formation,n_bets,inv,pay,hit
20260425,202605020107,7,V15+T1-T4-T5+T1-T4-T6_9,9,900,0.0,0
20260425,202605020107,7,V15+T2-T3-T4_8,8,800,0.0,0
20260425,202605020107,7,Box5_10,10,1000,0.0,0
20260425,202605020107,7,Box6_20,20,2000,0.0,0
20260425,202605020107,7,2axis_4,4,700,0.0,0
20260425,202605020108,8,V15_baseline_7,7,700,0.0,0
20260425,202605020108,8,V15+T1-T4-T5_8,8,800,0.0,0
20260425,202605020108,8,V15+T14_T15_T16_10,10,1000,0.0,0
20260425,202605020108,8,V15+T1-T4-T5+T1-T4-T6_9,9,900,0.0,0
20260425,202605020108,8,V15+T2-T3-T4_8,8,800,0.0,0
20260425,202605020108,8,Box5_10,10,1000,0.0,0
20260425,202605020108,8,Box6_20,20,2000,0.0,0
20260425,202605020108,8,2axis_4,4,700,0.0,0
20260425,202605020109,9,V15_baseline_7,7,700,0.0,0
20260425,202605020109,9,V15+T1-T4-T5_8,8,800,0.0,0
20260425,202605020109,9,V15+T14_T15_T16_10,10,1000,0.0,0
20260425,202605020109,9,V15+T1-T4-T5+T1-T4-T6_9,9,900,0.0,0
20260425,202605020109,9,V15+T2-T3-T4_8,8,800,0.0,0
20260425,202605020109,9,Box5_10,10,1000,0.0,0
20260425,202605020109,9,Box6_20,20,2000,0.0,1
20260425,202605020109,9,2axis_4,4,700,0.0,0
20260425,202605020110,10,V15_baseline_7,7,700,0.0,0
20260425,202605020110,10,V15+T1-T4-T5_8,8,800,0.0,0
20260425,202605020110,10,V15+T14_T15_T16_10,10,1000,0.0,0
20260425,202605020110,10,V15+T1-T4-T5+T1-T4-T6_9,9,900,0.0,0
20260425,202605020110,10,V15+T2-T3-T4_8,8,800,0.0,0
20260425,202605020110,10,Box5_10,10,1000,0.0,0
20260425,202605020110,10,Box6_20,20,2000,0.0,1
20260425,202605020110,10,2axis_4,4,700,0.0,0
20260425,202605020111,11,V15_baseline_7,7,700,2280.0,1
20260425,202605020111,11,V15+T1-T4-T5_8,8,800,2280.0,1
20260425,202605020111,11,V15+T14_T15_T16_10,10,1000,2280.0,1
20260425,202605020111,11,V15+T1-T4-T5+T1-T4-T6_9,9,900,2280.0,1
20260425,202605020111,11,V15+T2-T3-T4_8,8,800,2280.0,1
20260425,202605020111,11,Box5_10,10,1000,2280.0,1
20260425,202605020111,11,Box6_20,20,2000,2280.0,1
20260425,202605020111,11,2axis_4,4,700,3990.0,1
20260425,202605020112,12,V15_baseline_7,7,700,0.0,0
20260425,202605020112,12,V15+T1-T4-T5_8,8,800,0.0,0
20260425,202605020112,12,V15+T14_T15_T16_10,10,1000,0.0,0
20260425,202605020112,12,V15+T1-T4-T5+T1-T4-T6_9,9,900,0.0,0
20260425,202605020112,12,V15+T2-T3-T4_8,8,800,0.0,0
20260425,202605020112,12,Box5_10,10,1000,0.0,0
20260425,202605020112,12,Box6_20,20,2000,0.0,0
20260425,202605020112,12,2axis_4,4,700,0.0,0
20260425,202603010501,1,V15_baseline_7,7,700,0.0,0
20260425,202603010501,1,V15+T1-T4-T5_8,8,800,0.0,0
20260425,202603010501,1,V15+T14_T15_T16_10,10,1000,0.0,0
20260425,202603010501,1,V15+T1-T4-T5+T1-T4-T6_9,9,900,0.0,0
20260425,202603010501,1,V15+T2-T3-T4_8,8,800,0.0,0
20260425,202603010501,1,Box5_10,10,1000,0.0,0
20260425,202603010501,1,Box6_20,20,2000,0.0,0
20260425,202603010501,1,2axis_4,4,700,0.0,0
20260425,202603010502,2,V15_baseline_7,7,700,0.0,0
20260425,202603010502,2,V15+T1-T4-T5_8,8,800,0.0,0
20260425,202603010502,2,V15+T14_T15_T16_10,10,1000,0.0,0
20260425,202603010502,2,V15+T1-T4-T5+T1-T4-T6_9,9,900,0.0,0
20260425,202603010502,2,V15+T2-T3-T4_8,8,800,0.0,0
20260425,202603010502,2,Box5_10,10,1000,0.0,0
20260425,202603010502,2,Box6_20,20,2000,0.0,1
20260425,202603010502,2,2axis_4,4,700,0.0,0
20260425,202603010503,3,V15_baseline_7,7,700,0.0,0
20260425,202603010503,3,V15+T1-T4-T5_8,8,800,0.0,0
20260425,202603010503,3,V15+T14_T15_T16_10,10,1000,0.0,0
20260425,202603010503,3,V15+T1-T4-T5+T1-T4-T6_9,9,900,0.0,0
20260425,202603010503,3,V15+T2-T3-T4_8,8,800,0.0,0
20260425,202603010503,3,Box5_10,10,1000,0.0,0
20260425,202603010503,3,Box6_20,20,2000,0.0,0
20260425,202603010503,3,2axis_4,4,700,0.0,0
20260425,202603010504,4,V15_baseline_7,7,700,0.0,0
20260425,202603010504,4,V15+T1-T4-T5_8,8,800,0.0,0
20260425,202603010504,4,V15+T14_T15_T16_10,10,1000,0.0,0
20260425,202603010504,4,V15+T1-T4-T5+T1-T4-T6_9,9,900,0.0,0
20260425,202603010504,4,V15+T2-T3-T4_8,8,800,0.0,0
20260425,202603010504,4,Box5_10,10,1000,0.0,1
20260425,202603010504,4,Box6_20,20,2000,0.0,1
20260425,202603010504,4,2axis_4,4,700,0.0,0
20260425,202603010505,5,V15_baseline_7,7,700,0.0,0
20260425,202603010505,5,V15+T1-T4-T5_8,8,800,0.0,0
20260425,202603010505,5,V15+T14_T15_T16_10,10,1000,0.0,0
20260425,202603010505,5,V15+T1-T4-T5+T1-T4-T6_9,9,900,0.0,0
20260425,202603010505,5,V15+T2-T3-T4_8,8,800,0.0,0
20260425,202603010505,5,Box5_10,10,1000,0.0,0
20260425,202603010505,5,Box6_20,20,2000,0.0,0
20260425,202603010505,5,2axis_4,4,700,0.0,0
20260425,202603010506,6,V15_baseline_7,7,700,0.0,0
20260425,202603010506,6,V15+T1-T4-T5_8,8,800,0.0,0
20260425,202603010506,6,V15+T14_T15_T16_10,10,1000,0.0,0
20260425,202603010506,6,V15+T1-T4-T5+T1-T4-T6_9,9,900,0.0,0
20260425,202603010506,6,V15+T2-T3-T4_8,8,800,0.0,0
20260425,202603010506,6,Box5_10,10,1000,0.0,0
20260425,202603010506,6,Box6_20,20,2000,0.0,0
20260425,202603010506,6,2axis_4,4,700,0.0,0
20260425,202603010507,7,V15_baseline_7,7,700,3840.0,1
20260425,202603010507,7,V15+T1-T4-T5_8,8,800,3840.0,1
20260425,202603010507,7,V15+T14_T15_T16_10,10,1000,3840.0,1
20260425,202603010507,7,V15+T1-T4-T5+T1-T4-T6_9,9,900,3840.0,1
20260425,202603010507,7,V15+T2-T3-T4_8,8,800,3840.0,1
20260425,202603010507,7,Box5_10,10,1000,3840.0,1
20260425,202603010507,7,Box6_20,20,2000,3840.0,1
20260425,202603010507,7,2axis_4,4,700,0.0,0
20260425,202603010508,8,V15_baseline_7,7,700,0.0,0
20260425,202603010508,8,V15+T1-T4-T5_8,8,800,0.0,0
20260425,202603010508,8,V15+T14_T15_T16_10,10,1000,0.0,0
20260425,202603010508,8,V15+T1-T4-T5+T1-T4-T6_9,9,900,0.0,0
20260425,202603010508,8,V15+T2-T3-T4_8,8,800,0.0,0
20260425,202603010508,8,Box5_10,10,1000,0.0,0
20260425,202603010508,8,Box6_20,20,2000,0.0,0
20260425,202603010508,8,2axis_4,4,700,0.0,0
20260425,202603010509,9,V15_baseline_7,7,700,0.0,0
20260425,202603010509,9,V15+T1-T4-T5_8,8,800,0.0,0
20260425,202603010509,9,V15+T14_T15_T16_10,10,1000,0.0,0
20260425,202603010509,9,V15+T1-T4-T5+T1-T4-T6_9,9,900,0.0,0
20260425,202603010509,9,V15+T2-T3-T4_8,8,800,0.0,0
20260425,202603010509,9,Box5_10,10,1000,0.0,0
20260425,202603010509,9,Box6_20,20,2000,0.0,0
20260425,202603010509,9,2axis_4,4,700,0.0,0
20260425,202603010510,10,V15_baseline_7,7,700,0.0,0
20260425,202603010510,10,V15+T1-T4-T5_8,8,800,0.0,0
20260425,202603010510,10,V15+T14_T15_T16_10,10,1000,0.0,0
20260425,202603010510,10,V15+T1-T4-T5+T1-T4-T6_9,9,900,0.0,0
20260425,202603010510,10,V15+T2-T3-T4_8,8,800,0.0,0
20260425,202603010510,10,Box5_10,10,1000,0.0,0
20260425,202603010510,10,Box6_20,20,2000,0.0,0
20260425,202603010510,10,2axis_4,4,700,0.0,0
20260425,202603010511,11,V15_baseline_7,7,700,0.0,0
20260425,202603010511,11,V15+T1-T4-T5_8,8,800,0.0,0
20260425,202603010511,11,V15+T14_T15_T16_10,10,1000,0.0,0
20260425,202603010511,11,V15+T1-T4-T5+T1-T4-T6_9,9,900,0.0,0
20260425,202603010511,11,V15+T2-T3-T4_8,8,800,0.0,0
20260425,202603010511,11,Box5_10,10,1000,0.0,0
20260425,202603010511,11,Box6_20,20,2000,0.0,0
20260425,202603010511,11,2axis_4,4,700,0.0,0
20260425,202603010512,12,V15_baseline_7,7,700,0.0,0
20260425,202603010512,12,V15+T1-T4-T5_8,8,800,0.0,0
20260425,202603010512,12,V15+T14_T15_T16_10,10,1000,0.0,0
20260425,202603010512,12,V15+T1-T4-T5+T1-T4-T6_9,9,900,0.0,0
20260425,202603010512,12,V15+T2-T3-T4_8,8,800,0.0,0
20260425,202603010512,12,Box5_10,10,1000,0.0,0
20260425,202603010512,12,Box6_20,20,2000,0.0,0
20260425,202603010512,12,2axis_4,4,700,0.0,0
20260426,202605020205,5,V15_baseline_7,7,700,2020.0,1
20260426,202605020205,5,V15+T1-T4-T5_8,8,800,2020.0,1
20260426,202605020205,5,V15+T14_T15_T16_10,10,1000,2020.0,1
20260426,202605020205,5,V15+T1-T4-T5+T1-T4-T6_9,9,900,2020.0,1
20260426,202605020205,5,V15+T2-T3-T4_8,8,800,2020.0,1
20260426,202605020205,5,Box5_10,10,1000,2020.0,1
20260426,202605020205,5,Box6_20,20,2000,2020.0,1
20260426,202605020205,5,2axis_4,4,700,0.0,0
20260426,202605020206,6,V15_baseline_7,7,700,0.0,0
20260426,202605020206,6,V15+T1-T4-T5_8,8,800,0.0,0
20260426,202605020206,6,V15+T14_T15_T16_10,10,1000,0.0,0
20260426,202605020206,6,V15+T1-T4-T5+T1-T4-T6_9,9,900,0.0,0
20260426,202605020206,6,V15+T2-T3-T4_8,8,800,0.0,0
20260426,202605020206,6,Box5_10,10,1000,0.0,0
20260426,202605020206,6,Box6_20,20,2000,0.0,0
20260426,202605020206,6,2axis_4,4,700,0.0,0
20260426,202605020207,7,V15_baseline_7,7,700,620.0,1
20260426,202605020207,7,V15+T1-T4-T5_8,8,800,620.0,1
20260426,202605020207,7,V15+T14_T15_T16_10,10,1000,620.0,1
20260426,202605020207,7,V15+T1-T4-T5+T1-T4-T6_9,9,900,620.0,1
20260426,202605020207,7,V15+T2-T3-T4_8,8,800,620.0,1
20260426,202605020207,7,Box5_10,10,1000,620.0,1
20260426,202605020207,7,Box6_20,20,2000,620.0,1
20260426,202605020207,7,2axis_4,4,700,1085.0,1
20260426,202605020208,8,V15_baseline_7,7,700,1930.0,1
20260426,202605020208,8,V15+T1-T4-T5_8,8,800,1930.0,1
20260426,202605020208,8,V15+T14_T15_T16_10,10,1000,1930.0,1
20260426,202605020208,8,V15+T1-T4-T5+T1-T4-T6_9,9,900,1930.0,1
20260426,202605020208,8,V15+T2-T3-T4_8,8,800,1930.0,1
20260426,202605020208,8,Box5_10,10,1000,0.0,0
