race_id,date,course,race_num,race_name,condition,top1_score,base_inv,base_pay,base_pnl,s7only_recommended,s7only_inv,s7only_pay,v2_recommended,v2_bet_size,v2_inv,v2_pay,v2_pnl,v2_ev_top1,v2_p_calibrated,v2_strategy_7_pass,v2_reason
202603010305,20260418.0,福島,5,3歳未勝利,C,,700.0,1110.0,410.0,True,700,1110.0,True,700,700,1110.0,410.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202603010306,20260418.0,福島,6,3歳未勝利,C,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202603010307,20260418.0,福島,7,4歳以上1勝クラス,D,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202603010308,20260418.0,福島,8,4歳以上1勝クラス,C,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202603010309,20260418.0,福島,9,ひめさゆり賞,A,,700.0,9780.0,9080.0,True,700,9780.0,True,700,700,9780.0,9080.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202603010310,20260418.0,福島,10,桑折特別,A,,700.0,0.0,-700.0,False,0,0.0,False,0,0,0.0,0.0,0.0,0.0,False,strategy_7_06_tokubetsu
202603010311,20260418.0,福島,11,ラジオ福島賞,C,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202603010312,20260418.0,福島,12,4歳以上1勝クラス,D,,700.0,1890.0,1190.0,True,700,1890.0,True,700,700,1890.0,1190.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202606030701,20260418.0,中山,1,3歳未勝利,D,,700.0,540.0,-160.0,True,700,540.0,True,700,700,540.0,-160.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202606030702,20260418.0,中山,2,3歳未勝利,A,,700.0,1240.0,540.0,True,700,1240.0,True,700,700,1240.0,540.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202606030703,20260418.0,中山,3,3歳未勝利,D,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202606030704,20260418.0,中山,4,3歳未勝利,A,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202606030705,20260418.0,中山,5,3歳未勝利,C,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202606030706,20260418.0,中山,6,3歳1勝クラス,E,,700.0,0.0,-700.0,False,0,0.0,False,0,0,0.0,0.0,0.0,0.0,False,strategy_7_cond_E
202606030707,20260418.0,中山,7,4歳以上1勝クラス,A,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202606030708,20260418.0,中山,8,4歳以上1勝クラス,C,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202606030709,20260418.0,中山,9,袖ケ浦特別,D,,700.0,0.0,-700.0,False,0,0.0,False,0,0,0.0,0.0,0.0,0.0,False,strategy_7_06_tokubetsu
202606030710,20260418.0,中山,10,下総S,A,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202606030712,20260418.0,中山,12,葛飾特別,D,,700.0,1560.0,860.0,False,0,0.0,False,0,0,0.0,0.0,0.0,0.0,False,strategy_7_06_tokubetsu
202609020701,20260418.0,阪神,1,3歳未勝利,C,,700.0,630.0,-70.0,True,700,630.0,True,700,700,630.0,-70.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202609020702,20260418.0,阪神,2,3歳未勝利,D,,700.0,270.0,-430.0,True,700,270.0,True,700,700,270.0,-430.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202609020703,20260418.0,阪神,3,3歳未勝利,C,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202609020704,20260418.0,阪神,4,3歳未勝利,C,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202609020705,20260418.0,阪神,5,3歳1勝クラス,E,,700.0,0.0,-700.0,False,0,0.0,False,0,0,0.0,0.0,0.0,0.0,False,strategy_7_cond_E
202609020706,20260418.0,阪神,6,3歳1勝クラス,C,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202609020707,20260418.0,阪神,7,4歳以上1勝クラス,A,,700.0,1530.0,830.0,True,700,1530.0,True,700,700,1530.0,830.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202609020708,20260418.0,阪神,8,4歳以上1勝クラス,A,,700.0,660.0,-40.0,True,700,660.0,True,700,700,660.0,-40.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202609020709,20260418.0,阪神,9,吹田特別,D,,700.0,3460.0,2760.0,False,0,0.0,False,0,0,0.0,0.0,0.0,0.0,False,strategy_7_06_tokubetsu
202609020710,20260418.0,阪神,10,丹波特別,D,,700.0,0.0,-700.0,False,0,0.0,False,0,0,0.0,0.0,0.0,0.0,False,strategy_7_06_tokubetsu
202609020711,20260418.0,阪神,11,アンタレスS,C,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202609020712,20260418.0,阪神,12,4歳以上1勝クラス,D,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202603010401,20260419.0,福島,1,3歳未勝利,D,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202603010402,20260419.0,福島,2,3歳未勝利,C,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202603010403,20260419.0,福島,3,3歳未勝利,C,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202603010404,20260419.0,福島,4,3歳未勝利,C,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202603010405,20260419.0,福島,5,3歳未勝利,D,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202603010406,20260419.0,福島,6,4歳以上1勝クラス,A,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202603010407,20260419.0,福島,7,4歳以上1勝クラス,A,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202603010408,20260419.0,福島,8,4歳以上1勝クラス,C,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202603010409,20260419.0,福島,9,須賀川特別,D,,700.0,0.0,-700.0,False,0,0.0,False,0,0,0.0,0.0,0.0,0.0,False,strategy_7_06_tokubetsu
202603010410,20260419.0,福島,10,奥の細道特別,A,,700.0,0.0,-700.0,False,0,0.0,False,0,0,0.0,0.0,0.0,0.0,False,strategy_7_06_tokubetsu
202603010411,20260419.0,福島,11,福島牝馬S,C,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202603010412,20260419.0,福島,12,4歳以上1勝クラス,D,,700.0,2460.0,1760.0,True,700,2460.0,True,700,700,2460.0,1760.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202606030801,20260419.0,中山,1,3歳未勝利,A,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202606030802,20260419.0,中山,2,3歳未勝利,D,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202606030803,20260419.0,中山,3,3歳未勝利,A,,700.0,1690.0,990.0,True,700,1690.0,True,700,700,1690.0,990.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202606030804,20260419.0,中山,4,3歳未勝利,C,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202606030805,20260419.0,中山,5,3歳1勝クラス,A,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202606030806,20260419.0,中山,6,3歳1勝クラス,E,,700.0,0.0,-700.0,False,0,0.0,False,0,0,0.0,0.0,0.0,0.0,False,strategy_7_cond_E
202606030807,20260419.0,中山,7,4歳以上1勝クラス,D,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202606030808,20260419.0,中山,8,利根川特別,A,,700.0,0.0,-700.0,False,0,0.0,False,0,0,0.0,0.0,0.0,0.0,False,strategy_7_06_tokubetsu
202606030809,20260419.0,中山,9,野島崎特別,A,,700.0,0.0,-700.0,False,0,0.0,False,0,0,0.0,0.0,0.0,0.0,False,strategy_7_06_tokubetsu
202606030810,20260419.0,中山,10,京葉S,D,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
