0820230511081010000000000002461  53B2                                                         
0820230512053010100000000011463  60B2                                                  6412   
0820230601053010100000000001144  48A3                                                         
0820230602053010100000100002451  50A3                                                  5412   
0820230603053010101000000002336  45A3                                                  4211   
0820230604043010101000100012438  46A3                                                  5517   
0820230605051010000000000012449  58A3                                                  6211   
0820230606081010100000000002457  51B3                                                  5511   
0820230607051010100000000012456  53A3                                                  5011   
0820230608051010000000000002466  60A3                                                  4311   
0820230609053010101000000002450  51A3                                                  4711   
0820230610021010001010000002456  54A3                                                  5111   
0820230611053010101000000002456  50B3                                                  4812   
0820230612053010101000000002454  48A3                                                  5112   
0820230613052010100000000001444  38A3                                                  3312   
0820230614021010100000000002452  55A3                                                  5511   
0820230615051010100000000001267  59A3                                                  5312   
0820230616051010101000000001461  54A3                                                  5412   
0820230701051010000000000002156  48B2                                                  5111   
0820230702053010000000100011448  52A3                                                  5211   
0820230703081010000000000002474  50B3                                                  6711   
0820230704051010000000000002456  57B3                                                  6411   
0820230705061010000000000002168  69B3                                                         
0820230706021010000000000002454  55A3                                                  4811   
0820230707061010000000000002427  40B4                                                         
0820230708061010000000000002459  55B3                                                  5211   
0820230709081010100000000002473  58B3                                                  6111   
0820230710021010000000000002468  70A2                                                  7111   
0820230711093010100000100002439  25B4                                                         
0820230712051010100000000002451  53B4                                                  5311   
0820230713081010000000000002460  54B4                                                  6111   
0820230714031010000000100002342  53B4                                                         
0820230715051010000000100002441  43B3                                                  5211   
08202307161100000000000000000    45D3                                                         
08202308011000000000000000000    61B3                                                         
0820230802053010100000000001464  63B2                                                  7112   
0820230803031010000000000002464  64B3                                                  4511   
0820230804051010000000000002460  54B3                                                  5811   
0820230805023010100000000001451  52A3                                                  4212   
0820230806023010100000000002353  66A2                                                  6612   
0820230807081010000000100002460  57B3                                                  6311   
0820230808052000100000000001453  55B3                                                  6412   
0820230809053010100000000002469  70B2                                                  8312   
0820230810021010000000000002456  57A3                                                         
0820230811083010100000000001477  58B4                                                  7402   
0820230812081010000000000002458  52B3                                                  5211   
0820230813051010000000000002458  61B3                                                  7011   
0820230814023010100000000001360  60A3                                                  5611   
0820230815051010000000000002455  59B3                                                  6111   
0820230901051010000000100002467  67B2                                                  7211   
0820230902021010000000000002455  56A3                                                  6211   
0820230903052010100010000001460  67B2                                                  7412   
0820230904091010000000000002358  59B3                                                  6511   
0820230905051010000000000002465  73B2                                                  7311   
0820230906082000100000000001463  50B3                                                  5512   
0820230907052000100000000001464  64B3                                                  6602   
0820230908052000100000000001450  53B3                                                         
0820230909051010100000000002461  63B3                                                  6312   
0820230910082000100000000001465  56B3                                                  6212   
0820230911051010000000000002460  56B3                                                  5211   
0820230912053010100000000001455  57B3                                                  6512   
0820231001053010100000000001469  63B3                                                  6312   
0820231002081010100000000002468  54B2                                                  6311   
082023100305301010000010000118   55B4                                                  5902   
0820231004083010100000000001452  57B3                                                  6612   
0820231005021010000000000002466  66B1                                                  4411   
0820231006061010100000000002345  51B4                                                  3612   
0820231007053010100000000002462  70B2                                                  7012   
0820231008051010100000000002462  52B2                                                  6212   
0820231009021010100000000001453  56B3                                                  6312   
0820231010051010000000000002456  56B2                                                  6311   
0820231011023010100000000001470  70A2                                                   311   
0820231012051010100000000001469  65B2                                                  6212   
0820231101052000100000000001444  53B2                                                  5302   
0820231102052010100000000001460  65B3                                                  6302   
0820231103021010100000000002460  61B3                                                  6212   
0820231104082010100000000001460  61B3                                                  6212   
0820231105021010100000000001363  68A3                                                  7112   
0820231106051010000000000002470  62B3                                                  4811   
0820231107053010100000000001479  68B2                                                  6712   
0820231108053010100000100001464  64B2                                                  7512   
0820231109051010000000000002460  59B3                                                  5611   
0820231110051010000000000002466  63A3                                                  5711   
0820231111052000100000000001359  65B3                                                  8102   
0820231112083010100000000001465  57B3                                                  6111   
0820231113051010000000000002468  65B3                                                  6911   
0820231114051010100000000002457  57B3                                                  5911   
0820231115031010000000000002356  59B3                                                         
0820231116062000001000000001363  63B3                                                         
0820231201091010000000000002446  47D3                                                         
0820231202061010000000000002472  72B1                                                         
0820231203033010100000000002151  52B3                                                  3911   
0820231204021010000000000002457  57A2                                                         
0820231205041010000000100002466  66B2                                                  5811   
0820231206061010000000000002455  62B3                                                  2811   
0820231207053010100000000002453  59B3                                                  6211   
0820231208051010100000000001359  62B3                                                  5911   
0820231209062010100000000001455  64B3                                                  6602   
1020170101052000001000000001451  51B1                                                  3241   
1020170102052010101000000012445  46B3                                                  4312   
1020170103051010000000000002450  58B3                                                  1411   
1020170104082000100000000001143  44B3                                                  2802   
1020170105052000001000000001360  60B3                                                    15   
1020170106082000001000000002443  38B3                                                  3041   
1020170107061010000000000002149  45B3                                                  4211   
1020170108052000100000000001464  68B2                                                  6812   
1020170109081010000000000002481  63B2                                                  5911   
1020170110061010000000000002350  59B3                                                  5211   
1020170111053010100010000011137  53B4                                                  4516   
1020170112083010001000000011437  37B3                                                  4217   
1020170113062000001000000002442  55B4                                                         
1020170114051010000000000002466  66B3                                                         
1020170201041010000000000002451  51A3                                                  4311   
1020170202042000001000000001460  60B1                                                         
1020170203053010100000000001455  54B3                                                  6012   
1020170204072000101000000001161  57B2                                                  5802   
1020170205081010100000000001355  54B3                                                  6311   
1020170206052000001000000001471  71B1                                                  5641   
1020170207081010100000000002468  57B3                                                  6511   
1020170208021010100000000002164  59A2                                                  6012   
1020170209051010000000000002450  41B2                                                  4611   
10201702100510100010000000032    65B1                                                  1611   
10201702111100000000000000000    60D3                                                         
1020170212042000001000000001446  46B3                                                         
1020170213021010100000000002457  62A3                                                  4911   
1020170214051010000000000002447  42B3                                                  3911   
1020170215091010000000000002458  48B3                                                  3811   
1020170216042000001000000001446  46B2                                                         
1020170301061010000000000002343  61B3                                                  1111   
10201703021000000000000000000    32B3                                                         
1020170303052000001000000002458  58B2                                                         
1020170304051010100000000002455  57B2                                                  7112   
1020170305081010000000100012443  45B3                                                  5211   
1020170306052000001000000001451  59B3                                                         
1020170307061010000000000002440  43B3                                                  3511   
1020170308062000001000000001443  45B3                                                         
1020170309033010000000000012442  45B3                                                  2317   
