race_id,course,race_num,race_name,condition,bet_type,trio_bets_str,trio_hit,trio_payout,umaren_hit,umaren_payout,investment,profit,status,top1_finish,top2_finish,top3_finish,trio_result,distance,surface
202606030512,中山,12,4歳以上2勝クラス,D,trio,3-4-7; 3-4-13; 4-6-7; 4-6-13; 4-7-9; 4-7-13; 4-9-13,0,0,0,0,700,-700,settled,8,15,13,6-15-16,1200,ダ
202603010101,福島,1,3歳未勝利,C,trio,1-4-11; 1-4-14; 4-11-12; 4-11-14; 4-11-15; 4-12-14; 4-14-15,1,1390,0,0,700,690,settled,3,2,1,4-11-14,1700,ダ
202603010102,福島,2,3歳未勝利,D,trio,2-4-5; 2-4-6; 2-4-11; 2-4-16; 2-5-16; 2-6-16; 2-11-16,1,770,0,0,700,70,settled,3,2,6,2-4-6,1200,芝
202603010103,福島,3,3歳未勝利,C,trio,1-2-10; 1-2-11; 2-7-10; 2-7-11; 2-10-11; 2-10-15; 2-11-15,0,0,0,0,700,-700,settled,3,9,4,2-5-8,1800,芝
202603010104,福島,4,3歳未勝利,D,trio,3-4-15; 3-5-15; 3-6-15; 3-9-15; 4-5-15; 5-6-15; 5-9-15,0,0,0,0,700,-700,settled,6,3,7,4-5-13,1150,ダ
202603010105,福島,5,3歳未勝利,C,trio,1-2-3; 1-2-4; 1-2-11; 1-2-12; 1-3-4; 1-3-11; 1-3-12,0,0,0,0,700,-700,settled,1,2,10,1-3-8,2000,芝
202603010106,福島,6,3歳未勝利,C,trio,2-3-4; 2-3-5; 2-3-8; 2-3-11; 2-4-5; 2-4-8; 2-4-11,0,0,0,0,700,-700,settled,2,4,8,2-5-11,2600,芝
202603010107,福島,7,4歳以上1勝クラス,C,trio,1-5-6; 1-5-14; 1-6-7; 1-6-10; 1-6-14; 1-7-14; 1-10-14,0,0,0,0,700,-700,settled,14,5,3,2-6-10,1700,ダ
202603010108,福島,8,4歳以上1勝クラス,D,trio,6-7-12; 6-7-16; 7-9-12; 7-9-16; 7-12-15; 7-12-16; 7-15-16,0,0,0,0,700,-700,settled,8,1,7,3-8-12,1150,ダ
202603010109,福島,9,浄土平特別,C,trio,2-3-12; 2-12-15; 3-7-12; 3-11-12; 3-12-15; 7-12-15; 11-12-15,0,0,0,0,700,-700,settled,4,1,12,2-3-9,1800,芝
202603010110,福島,10,花見山特別,D,trio,2-3-4; 2-4-5; 2-4-7; 2-4-12; 3-4-5; 3-4-7; 3-4-12,0,0,0,0,700,-700,settled,2,5,12,4-8-16,1200,芝
202603010111,福島,11,吾妻小富士S,C,trio,1-2-15; 1-3-15; 1-11-15; 1-13-15; 2-13-15; 3-13-15; 11-13-15,1,14120,0,0,700,13420,settled,2,1,5,1-11-15,1700,ダ
202603010112,福島,12,4歳以上1勝クラス,D,trio,1-2-11; 1-9-11; 1-10-11; 1-11-13; 2-9-11; 2-10-11; 2-11-13,0,0,0,0,700,-700,settled,6,2,9,2-8-10,1200,芝
202609020501,阪神,1,3歳未勝利,X,trio,2-3-7; 2-4-7; 2-7-11; 2-7-15; 3-4-7; 3-7-11; 3-7-15,1,1160,0,0,700,460,settled,1,15,3,2-7-11,1800,ダ
202609020502,阪神,2,3歳未勝利,D,trio,1-5-8; 1-5-9; 1-5-10; 1-5-13; 1-8-10; 1-9-10; 1-10-13,1,840,0,0,700,140,settled,2,1,8,1-5-8,1400,ダ
202609020503,阪神,3,3歳未勝利,B,trio,1-2-3; 1-3-13; 2-3-4; 2-3-11; 2-3-13; 3-4-13; 3-11-13,0,0,0,0,700,-700,settled,1,7,11,3-4-8,1800,ダ
202609020504,阪神,4,3歳未勝利,C,trio,2-3-6; 2-5-6; 3-5-6; 3-6-14; 3-6-16; 5-6-14; 5-6-16,1,5850,0,0,700,5150,settled,1,4,3,3-6-14,2000,芝
202609020505,阪神,5,3歳1勝クラス,B,trio,3-5-8; 3-8-11; 4-5-8; 4-8-11; 5-6-8; 5-8-11; 6-8-11,0,0,0,0,700,-700,settled,11,5,1,1-4-5,1800,ダ
202609020506,阪神,6,3歳1勝クラス,D,trio,2-3-7; 2-3-10; 2-3-12; 2-3-14; 3-7-10; 3-7-12; 3-7-14,0,0,0,0,700,-700,settled,2,5,4,3-10-14,1200,芝
202609020507,阪神,7,4歳以上1勝クラス,B,trio,3-5-7; 3-5-9; 3-5-10; 3-5-11; 3-7-11; 3-9-11; 3-10-11,0,0,0,0,700,-700,settled,1,2,4,3-5-8,1800,ダ
202609020508,阪神,8,4歳以上1勝クラス,D,trio,3-7-9; 3-9-11; 4-7-9; 4-9-11; 6-7-9; 6-9-11; 7-9-11,0,0,0,0,700,-700,settled,1,7,8,4-8-9,1400,ダ
202609020509,阪神,9,明石特別,A,trio,1-2-4; 1-4-7; 2-4-5; 2-4-7; 2-4-8; 4-5-7; 4-7-8,1,190,0,0,700,-510,settled,2,3,4,1-2-4,2400,芝
202609020510,阪神,10,大阪―ハンブルクC,A,trio,1-2-7; 1-3-7; 1-6-7; 1-7-10; 2-6-7; 3-6-7; 6-7-10,1,910,0,0,700,210,settled,2,3,11,1-7-10,2600,芝
202609020511,阪神,11,阪神牝馬S,A,trio,2-3-6; 2-4-6; 3-4-6; 3-5-6; 3-6-8; 4-5-6; 4-6-8,0,0,0,0,700,-700,settled,10,3,8,1-3-5,1600,芝
