race_id,course,race_num,race_name,condition_band,num_horses,distance,surface,track_cond,top5_nums,top3_nums,finish_nums,cov5,cov3,trio_hit,trio_payout,umaren_hit,umaren_payout
202605020705,東京,5,3歳未勝利,D,18,1400,芝,?,"[1, 2, 9, 11, 12]","[2, 11, 12]","[2, 10, 12]",2,2,0,0,0,0
202605020706,東京,6,3歳1勝クラス,A,8,2400,芝,?,"[1, 3, 4, 7, 8]","[3, 4, 8]","[3, 4, 8]",3,3,1,430,0,0
202605020707,東京,7,3歳1勝クラス,D,16,1400,ダ,?,"[3, 4, 6, 8, 9]","[3, 6, 8]","[4, 9, 13]",2,0,0,0,0,0
202605020708,東京,8,4歳以上1勝クラス,C,16,1600,ダ,?,"[2, 11, 12, 13, 15]","[2, 11, 15]","[1, 14, 15]",1,1,0,0,0,0
202605020709,東京,9,調布特別,A,9,1800,芝,?,"[1, 3, 5, 6, 9]","[1, 3, 6]","[3, 5, 7]",2,1,0,0,0,0
202605020710,東京,10,立川特別,D,12,1400,ダ,?,"[2, 6, 8, 9, 12]","[6, 9, 12]","[6, 8, 12]",3,2,0,0,0,0
202605020711,東京,11,六社S,C,15,2400,芝,?,"[2, 4, 6, 7, 8]","[2, 6, 7]","[4, 7, 8]",3,1,0,0,0,0
202605020712,東京,12,4歳以上1勝クラス,A,14,1600,ダ,?,"[1, 4, 5, 9, 10]","[1, 9, 10]","[4, 9, 11]",2,1,0,0,0,0
202608030701,京都,1,3歳未勝利,D,16,1400,ダ,?,"[4, 7, 8, 12, 14]","[8, 12, 14]","[4, 5, 8]",2,1,0,0,0,0
202608030702,京都,2,3歳未勝利,A,11,1800,ダ,?,"[2, 6, 8, 9, 11]","[6, 9, 11]","[1, 6, 9]",2,2,1,1560,0,0
202608030703,京都,3,3歳未勝利,D,18,1400,芝,?,"[4, 11, 16, 17, 18]","[4, 16, 18]","[2, 13, 18]",1,1,0,0,0,0
202608030704,京都,4,3歳未勝利,A,10,2400,芝,?,"[1, 6, 7, 8, 10]","[6, 7, 8]","[2, 6, 9]",1,1,0,0,0,0
202608030705,京都,5,3歳未勝利,A,14,1800,芝,?,"[2, 4, 5, 7, 12]","[2, 4, 12]","[2, 5, 14]",2,1,0,0,0,0
202608030706,京都,6,4歳以上1勝クラス,D,15,1200,ダ,?,"[2, 5, 7, 11, 13]","[5, 7, 13]","[5, 7, 14]",2,2,0,0,0,0
202608030707,京都,7,4歳以上1勝クラス,A,11,1600,芝,?,"[1, 2, 3, 5, 6]","[1, 3, 5]","[3, 5, 6]",3,2,0,0,0,0
202608030709,京都,9,あずさ賞,A,10,2000,芝,?,"[2, 3, 4, 6, 9]","[3, 4, 6]","[1, 2, 8]",1,0,0,0,0,0
202608030710,京都,10,上賀茂S,C,15,1900,ダ,?,"[1, 4, 7, 10, 13]","[1, 10, 13]","[1, 13, 14]",2,2,1,33200,0,0
202608030711,京都,11,鞍馬S,D,16,1200,芝,?,"[9, 12, 13, 15, 16]","[13, 15, 16]","[3, 6, 12]",1,0,0,0,0,0
202608030712,京都,12,4歳以上2勝クラス,D,15,1200,ダ,?,"[2, 8, 10, 13, 14]","[2, 10, 13]","[10, 13, 15]",2,2,1,4450,0,0
