race_id,course,race_num,race_name,tier,condition_band,num_horses,distance,surface,top5_nums,top3_nums,finish_nums,cov5,cov3,trio_hit_7pt,trio_payout_7pt,umaren_hit,umaren_payout
202608030701,京都,1,3歳未勝利,未勝利,D,16,1400,ダ,"[14, 12, 8, 4, 7]","[14, 12, 8]","[4, 5, 8]",2,1,0,0,0,0
202608030702,京都,2,3歳未勝利,未勝利,A,11,1800,ダ,"[9, 6, 11, 2, 8]","[9, 6, 11]","[1, 6, 9]",2,2,1,1560,0,0
202608030703,京都,3,3歳未勝利,未勝利,D,18,1400,芝,"[4, 18, 16, 11, 17]","[4, 18, 16]","[2, 13, 18]",1,1,0,0,0,0
202608030704,京都,4,3歳未勝利,未勝利,A,10,2400,芝,"[6, 8, 7, 1, 10]","[6, 8, 7]","[2, 6, 9]",1,1,0,0,0,0
202608030705,京都,5,3歳未勝利,未勝利,A,14,1800,芝,"[2, 12, 4, 5, 7]","[2, 12, 4]","[2, 5, 14]",2,1,0,0,0,0
202608030706,京都,6,4歳以上1勝クラス,1勝C,D,15,1200,ダ,"[5, 13, 7, 2, 11]","[5, 13, 7]","[5, 7, 14]",2,2,0,0,0,0
202608030707,京都,7,4歳以上1勝クラス,1勝C,A,11,1600,芝,"[1, 5, 3, 6, 2]","[1, 5, 3]","[3, 5, 6]",3,2,0,0,0,0
202608030709,京都,9,あずさ賞,OP特,A,10,2000,芝,"[3, 6, 4, 2, 9]","[3, 6, 4]","[1, 2, 8]",1,0,0,0,0,0
202608030710,京都,10,上賀茂S,OP/L,C,15,1900,ダ,"[13, 10, 1, 4, 7]","[13, 10, 1]","[1, 13, 14]",2,2,1,33200,0,0
202608030711,京都,11,鞍馬S,L,D,16,1200,芝,"[13, 16, 15, 9, 12]","[13, 16, 15]","[3, 6, 12]",1,0,0,0,0,0
202608030712,京都,12,4歳以上2勝クラス,2勝C,D,15,1200,ダ,"[10, 2, 13, 14, 8]","[10, 2, 13]","[10, 13, 15]",2,2,1,4450,0,0
